method,k,recall,n_centroids_compared,segments_searched,total_routing_cost
Baseline,1,0.133,200,1,200
Baseline,3,0.326,200,3,200
Baseline,5,0.455,200,5,200
Baseline,10,0.644,200,10,200
Baseline,15,0.727,200,15,200
Baseline,20,0.7705,200,20,200
Baseline,30,0.8105,200,30,200
HMRC-2,1,0.2085,400,1,400
HMRC-2,3,0.4445,400,3,400
HMRC-2,5,0.5735,400,5,400
HMRC-2,10,0.721,400,10,400
HMRC-2,15,0.7825,400,15,400
HMRC-2,20,0.8135,400,20,400
HMRC-2,30,0.8355,400,30,400
HMRC-3,1,0.269,600,1,600
HMRC-3,3,0.567,600,3,600
HMRC-3,5,0.727,600,5,600
HMRC-3,10,0.8125,600,10,600
HMRC-3,15,0.829,600,15,600
HMRC-3,20,0.8425,600,20,600
HMRC-3,30,0.8615,600,30,600
HMRC-5,1,0.253,1000,1,1000
HMRC-5,3,0.5575,1000,3,1000
HMRC-5,5,0.7085,1000,5,1000
HMRC-5,10,0.8065,1000,10,1000
HMRC-5,15,0.839,1000,15,1000
HMRC-5,20,0.856,1000,20,1000
HMRC-5,30,0.884,1000,30,1000
