method,k,recall,overhead,build_time
Baseline,1,0.1215,1.0,0.03920602798461914
Baseline,5,0.4345,1.0,0.03920602798461914
Baseline,10,0.6015,1.0,0.03920602798461914
Baseline,20,0.726,1.0,0.03920602798461914
HMRC-2,1,0.2045,2.0,0.763477087020874
HMRC-2,5,0.569,2.0,0.763477087020874
HMRC-2,10,0.7015,2.0,0.763477087020874
HMRC-2,20,0.778,2.0,0.763477087020874
HMRC-3,1,0.274,3.0,0.8236989974975586
HMRC-3,5,0.7,3.0,0.8236989974975586
HMRC-3,10,0.7875,3.0,0.8236989974975586
HMRC-3,20,0.8185,3.0,0.8236989974975586
HMRC-5,1,0.255,5.0,1.0678701400756836
HMRC-5,5,0.683,5.0,1.0678701400756836
HMRC-5,10,0.7895,5.0,1.0678701400756836
HMRC-5,20,0.8385,5.0,1.0678701400756836
HMRC-7,1,0.293,7.0,1.3301329612731934
HMRC-7,5,0.689,7.0,1.3301329612731934
HMRC-7,10,0.789,7.0,1.3301329612731934
HMRC-7,20,0.836,7.0,1.3301329612731934
