method,k,recall,n_centroids_compared,segments_searched,total_routing_cost
Baseline,1,0.1215,200,1,200
Baseline,3,0.31,200,3,200
Baseline,5,0.4345,200,5,200
Baseline,10,0.6015,200,10,200
Baseline,15,0.675,200,15,200
Baseline,20,0.726,200,20,200
Baseline,30,0.7785,200,30,200
HMRC-2,1,0.2045,400,1,400
HMRC-2,3,0.4405,400,3,400
HMRC-2,5,0.569,400,5,400
HMRC-2,10,0.7015,400,10,400
HMRC-2,15,0.749,400,15,400
HMRC-2,20,0.778,400,20,400
HMRC-2,30,0.813,400,30,400
HMRC-3,1,0.274,600,1,600
HMRC-3,3,0.5585,600,3,600
HMRC-3,5,0.7,600,5,600
HMRC-3,10,0.7875,600,10,600
HMRC-3,15,0.8065,600,15,600
HMRC-3,20,0.8185,600,20,600
HMRC-3,30,0.84,600,30,600
HMRC-5,1,0.255,1000,1,1000
HMRC-5,3,0.5335,1000,3,1000
HMRC-5,5,0.683,1000,5,1000
HMRC-5,10,0.7895,1000,10,1000
HMRC-5,15,0.82,1000,15,1000
HMRC-5,20,0.8385,1000,20,1000
HMRC-5,30,0.8715,1000,30,1000
