method,k,recall,segment_type,silhouette,mean_intra_dist,n_segments
Baseline,5,0.1485,Time-Batched,-0.04681292921304703,0.9918809533119202,200
Baseline,10,0.218,Time-Batched,-0.04681292921304703,0.9918809533119202,200
Baseline,20,0.3325,Time-Batched,-0.04681292921304703,0.9918809533119202,200
HMRC-3,5,0.179,Time-Batched,-0.04681292921304703,0.9918809533119202,200
HMRC-3,10,0.27,Time-Batched,-0.04681292921304703,0.9918809533119202,200
HMRC-3,20,0.3875,Time-Batched,-0.04681292921304703,0.9918809533119202,200
HMRC-5,5,0.2315,Time-Batched,-0.04681292921304703,0.9918809533119202,200
HMRC-5,10,0.3185,Time-Batched,-0.04681292921304703,0.9918809533119202,200
HMRC-5,20,0.4395,Time-Batched,-0.04681292921304703,0.9918809533119202,200
silhouette_comparison,0,0.0,Coherent,0.008774015121161938,0.0,200
silhouette_comparison,0,0.0,Semi-3,-0.051311224699020386,0.0,200
