nprobe,routing_recall,e2e_recall,latency_us_per_query,method,n_lists
1,0.1115,0.103,12.410941702546552,Baseline,200
3,0.298,0.263,37.4039582995465,Baseline,200
5,0.4265,0.3855,57.83609579957556,Baseline,200
10,0.611,0.549,119.52476669976024,Baseline,200
15,0.7035,0.64,175.91745420068037,Baseline,200
20,0.75,0.687,232.82851250260137,Baseline,200
30,0.8,0.736,366.12253319763107,Baseline,200
1,0.1395,0.1335,6.928254198282957,HMRC-2,400
3,0.3845,0.325,18.349358401610516,HMRC-2,400
5,0.538,0.4485,34.31185419904068,HMRC-2,400
10,0.6955,0.5975,64.87674990203233,HMRC-2,400
15,0.762,0.6685,98.7842251022812,HMRC-2,400
20,0.7965,0.714,130.59412489819806,HMRC-2,400
30,0.819,0.7595,189.18762929970399,HMRC-2,400
1,0.1345,0.1775,5.438233402674086,HMRC-3,600
3,0.42,0.3935,14.534295801422559,HMRC-3,600
5,0.627,0.527,23.277687499648888,HMRC-3,600
10,0.7815,0.6505,45.78452920541167,HMRC-3,600
15,0.8085,0.705,66.69887080497575,HMRC-3,600
20,0.8155,0.738,86.84419589990286,HMRC-3,600
30,0.8295,0.7685,124.23080839798787,HMRC-3,600
1,0.122,0.161,4.0892832970712325,HMRC-5,1000
3,0.381,0.3795,10.196312496555038,HMRC-5,1000
5,0.5735,0.5155,16.94068319920916,HMRC-5,1000
10,0.753,0.647,31.03440839622635,HMRC-5,1000
15,0.789,0.693,47.885258396854624,HMRC-5,1000
20,0.803,0.7275,66.82905410125386,HMRC-5,1000
30,0.818,0.7715,90.06098760291934,HMRC-5,1000
