nprobe,routing_recall,e2e_recall,latency_us_per_query,method,n_lists
1,0.1045,0.0895,11.230066596181132,Baseline,200
3,0.2865,0.2345,34.59732079936657,Baseline,200
5,0.4085,0.3485,59.28260000073351,Baseline,200
10,0.572,0.4875,117.10646659776103,Baseline,200
15,0.654,0.5645,176.35032510152087,Baseline,200
20,0.706,0.617,235.59790840081402,Baseline,200
30,0.7625,0.6835,342.3823790973984,Baseline,200
1,0.1275,0.12,6.974975098273717,HMRC-2,400
3,0.3765,0.2855,18.682220799382772,HMRC-2,400
5,0.5265,0.3985,32.21279159770347,HMRC-2,400
10,0.6705,0.553,65.26549159898424,HMRC-2,400
15,0.73,0.6245,97.2393290983746,HMRC-2,400
20,0.7625,0.6625,128.4325331973378,HMRC-2,400
30,0.789,0.712,186.7047958978219,HMRC-2,400
1,0.132,0.132,5.525829200632869,HMRC-3,600
3,0.4095,0.322,14.558879402466117,HMRC-3,600
5,0.613,0.4575,23.765020899008956,HMRC-3,600
10,0.7565,0.5865,45.53474580461625,HMRC-3,600
15,0.786,0.6425,66.87312499852852,HMRC-3,600
20,0.7955,0.6815,85.82050409750082,HMRC-3,600
30,0.807,0.722,123.3971501031192,HMRC-3,600
1,0.123,0.1285,4.240258398931473,HMRC-5,1000
3,0.368,0.3145,10.621866697329096,HMRC-5,1000
5,0.5795,0.4275,17.26253750093747,HMRC-5,1000
10,0.7355,0.558,32.29243739915546,HMRC-5,1000
15,0.769,0.6165,44.73658340575639,HMRC-5,1000
20,0.782,0.6525,57.575570899643935,HMRC-5,1000
30,0.7965,0.7025,82.73635419900529,HMRC-5,1000
