strategy,seed,method,family,nominal_budget,n_reps_total,avg_reps_per_seg,build_time_s,route_us_per_query,recall@1,recall@5,recall@10
semi,42,Mean,mean,1,200,1.0,0.0533981323242187,7.542014122009277,0.1315,0.446,0.6145
semi,42,HMRC-3,flat,3,600,3.0,1.0106990337371826,26.17645263671875,0.2685,0.6875,0.769
semi,42,HMRC-4,flat,4,800,4.0,1.3697259426116943,35.46345233917236,0.259,0.6945,0.777
semi,42,HMRC-9,flat,9,1800,9.0,1.8870489597320557,77.5899887084961,0.2795,0.6925,0.784
semi,42,HMRC-16,flat,16,3200,16.0,2.6609489917755127,154.98745441436768,0.35,0.7365,0.8205
semi,42,kRt-b2d2,hier,4,800,4.0,1.8771142959594729,36.08250617980957,0.243,0.68,0.7755
semi,42,kRt-b3d2,hier,9,1800,9.0,2.3843352794647217,91.25614166259766,0.3015,0.6995,0.8015
semi,42,kRt-b4d2,hier,16,3200,16.0,2.77645206451416,174.74806308746338,0.3495,0.7395,0.8405
semi,43,Mean,mean,1,200,1.0,0.0454089641571044,7.777929306030272,0.138,0.458,0.618
semi,43,HMRC-3,flat,3,600,3.0,1.0069892406463623,25.16353130340576,0.2615,0.7125,0.789
semi,43,HMRC-4,flat,4,800,4.0,1.229544162750244,33.54644775390625,0.283,0.709,0.7955
semi,43,HMRC-9,flat,9,1800,9.0,2.9268620014190674,84.51497554779053,0.2875,0.701,0.7995
semi,43,HMRC-16,flat,16,3200,16.0,3.041520118713379,167.7924394607544,0.337,0.73,0.8255
semi,43,kRt-b2d2,hier,4,800,4.0,1.903625965118408,37.30487823486328,0.2595,0.698,0.795
semi,43,kRt-b3d2,hier,9,1800,9.0,2.3340160846710205,92.67055988311768,0.293,0.7045,0.8035
semi,43,kRt-b4d2,hier,16,3200,16.0,2.668217897415161,160.16805171966553,0.3425,0.728,0.8325
semi,44,Mean,mean,1,200,1.0,0.0472908020019531,8.059501647949219,0.1315,0.4515,0.6045
semi,44,HMRC-3,flat,3,600,3.0,1.0953950881958008,25.360465049743652,0.2645,0.703,0.771
semi,44,HMRC-4,flat,4,800,4.0,1.219271898269653,34.00838375091553,0.2655,0.712,0.7805
semi,44,HMRC-9,flat,9,1800,9.0,1.6808512210845947,85.21080017089844,0.2905,0.702,0.7865
semi,44,HMRC-16,flat,16,3200,16.0,2.9640450477600098,161.83054447174072,0.3445,0.7155,0.815
semi,44,kRt-b2d2,hier,4,800,4.0,1.8960089683532717,38.33150863647461,0.247,0.6855,0.771
semi,44,kRt-b3d2,hier,9,1800,9.0,2.418062686920166,92.50247478485107,0.304,0.7095,0.7965
semi,44,kRt-b4d2,hier,16,3200,16.0,2.8302738666534424,168.99991035461426,0.3315,0.739,0.827
semi,45,Mean,mean,1,200,1.0,0.0691969394683837,8.314967155456543,0.132,0.4605,0.628
semi,45,HMRC-3,flat,3,600,3.0,1.1027650833129885,24.704456329345703,0.267,0.702,0.7875
semi,45,HMRC-4,flat,4,800,4.0,1.6452538967132568,38.45047950744629,0.255,0.7075,0.794
semi,45,HMRC-9,flat,9,1800,9.0,2.633816957473755,85.21652221679688,0.3035,0.7035,0.7935
semi,45,HMRC-16,flat,16,3200,16.0,3.094547748565674,173.83801937103271,0.327,0.74,0.8225
semi,45,kRt-b2d2,hier,4,800,4.0,1.984048843383789,37.10746765136719,0.2355,0.6805,0.783
semi,45,kRt-b3d2,hier,9,1800,9.0,2.489708185195923,93.16647052764893,0.2885,0.7005,0.8045
