strategy,seed,method,family,nominal_budget,n_reps_total,avg_reps_per_seg,build_time_s,route_us_per_query,recall@1,recall@5,recall@10
semi,42,Mean,mean,1,200,1.0,0.0588340759277343,8.121490478515625,0.1225,0.4135,0.5915
semi,42,HMRC-3,flat,3,600,3.0,1.1163840293884275,27.73451805114746,0.2555,0.6815,0.7815
semi,42,HMRC-4,flat,4,800,4.0,1.41843581199646,39.6878719329834,0.241,0.6885,0.7935
semi,42,HMRC-9,flat,9,1800,9.0,1.9604148864746096,83.85097980499268,0.302,0.69,0.796
semi,42,HMRC-16,flat,16,3200,16.0,2.3313000202178955,168.37406158447266,0.3775,0.7305,0.823
semi,42,kRt-b2d2,hier,4,800,4.0,1.940485954284668,40.403008460998535,0.234,0.6615,0.778
semi,42,kRt-b3d2,hier,9,1800,9.0,2.5357110500335693,98.80590438842772,0.291,0.691,0.79
semi,42,kRt-b4d2,hier,16,3200,16.0,2.8571269512176514,185.9910488128662,0.3855,0.744,0.8395
semi,43,Mean,mean,1,200,1.0,0.0568437576293945,9.20093059539795,0.1285,0.43,0.605
semi,43,HMRC-3,flat,3,600,3.0,1.1376147270202637,28.924107551574707,0.276,0.7245,0.8075
semi,43,HMRC-4,flat,4,800,4.0,1.482774019241333,36.47744655609131,0.2745,0.7265,0.8145
semi,43,HMRC-9,flat,9,1800,9.0,3.1860411167144775,86.9070291519165,0.3045,0.7205,0.812
semi,43,HMRC-16,flat,16,3200,16.0,2.608934164047241,171.4569330215454,0.391,0.751,0.8395
semi,43,kRt-b2d2,hier,4,800,4.0,2.0562288761138916,38.5819673538208,0.258,0.707,0.811
semi,43,kRt-b3d2,hier,9,1800,9.0,2.496901035308838,97.58901596069336,0.336,0.7155,0.822
semi,43,kRt-b4d2,hier,16,3200,16.0,2.8578760623931885,174.2805242538452,0.3915,0.767,0.858
semi,44,Mean,mean,1,200,1.0,0.0528903007507324,9.093523025512695,0.1215,0.4505,0.6115
