scenario,policy,method,step,recall@10_mean,kmeans_fits_mean,recall@10_std,kmeans_fits_std,recall@10_ci95,kmeans_fits_ci95
append,drift,hmrc,20,0.6376666666666667,105.0,0.01137248140615468,0.0,0.012869174194346938,0.0
append,drift,hmrc,22,0.631,115.0,0.004358898943540658,0.0,0.004932558497710206,0.0
append,drift,hmrc,24,0.594,125.0,0.0151327459504216,0.0,0.017124314098186096,0.0
append,drift,hmrc,26,0.5956666666666667,135.0,0.011676186592091362,0.0,0.013212848965222405,0.0
append,drift,hmrc,28,0.5976666666666667,145.0,0.02739221300540239,0.0,0.03099720704264253,0.0
append,drift,hmrc,30,0.5846666666666667,155.0,0.0110151410945722,0.0,0.01246480556518142,0.0
append,drift,hmrc,32,0.5726666666666667,165.0,0.016772994167212146,0.0,0.01898042968720967,0.0
append,drift,hmrc,34,0.578,175.0,0.02685144316419507,0.0,0.030385268360396803,0.0
append,drift,hmrc,36,0.5806666666666667,185.0,0.02223360819420303,0.0,0.025159696164920385,0.0
append,drift,hmrc,38,0.5726666666666667,195.0,0.018502252115170523,0.0,0.02093726926904373,0.0
append,periodic,hmrc,20,0.6376666666666667,105.0,0.01137248140615468,0.0,0.012869174194346938,0.0
append,periodic,hmrc,22,0.631,115.0,0.004358898943540658,0.0,0.004932558497710206,0.0
append,periodic,hmrc,24,0.594,125.0,0.0151327459504216,0.0,0.017124314098186096,0.0
append,periodic,hmrc,26,0.5956666666666667,135.0,0.011676186592091362,0.0,0.013212848965222405,0.0
append,periodic,hmrc,28,0.5976666666666667,145.0,0.02739221300540239,0.0,0.03099720704264253,0.0
append,periodic,hmrc,30,0.5846666666666667,155.0,0.0110151410945722,0.0,0.01246480556518142,0.0
append,periodic,hmrc,32,0.5726666666666667,165.0,0.016772994167212146,0.0,0.01898042968720967,0.0
append,periodic,hmrc,34,0.578,175.0,0.02685144316419507,0.0,0.030385268360396803,0.0
append,periodic,hmrc,36,0.5806666666666667,185.0,0.02223360819420303,0.0,0.025159696164920385,0.0
append,periodic,hmrc,38,0.5726666666666667,195.0,0.018502252115170523,0.0,0.02093726926904373,0.0
append,static,hmrc,20,0.6523333333333333,105.0,0.016921386861996072,0.0,0.01914835182927705,0.0
append,static,hmrc,22,0.615,115.0,0.007000000000000038,0.0,0.007921245693281708,0.0
append,static,hmrc,24,0.5953333333333334,125.0,0.0015275252316518935,0.0,0.0017285575232288057,0.0
append,static,hmrc,26,0.594,135.0,0.013453624047073731,0.0,0.015224208791701922,0.0
append,static,hmrc,28,0.586,145.0,0.012124355652982121,0.0,0.013719999999999979,0.0
append,static,hmrc,30,0.58,155.0,0.010999999999999982,0.0,0.012447671803728312,0.0
append,static,hmrc,32,0.5823333333333333,165.0,0.0068068592855540155,0.0,0.007702686400067008,0.0
append,static,hmrc,34,0.5796666666666667,175.0,0.01847520861406805,0.0,0.020906666666666695,0.0
append,static,hmrc,36,0.594,185.0,0.018193405398660285,0.0,0.02058777630860931,0.0
append,static,hmrc,38,0.5873333333333334,195.0,0.010115993936995681,0.0,0.011447324772384354,0.0
append,static,mean,20,0.5223333333333334,105.0,0.01844812546936234,0.0,0.020876019203329464,0.0
append,static,mean,22,0.49666666666666665,115.0,0.022030282189144434,0.0,0.024929611130362878,0.0
append,static,mean,24,0.506,125.0,0.0,0.0,0.0,0.0
append,static,mean,26,0.5016666666666666,135.0,0.027646579052991966,0.0,0.03128504932249768,0.0
append,static,mean,28,0.4736666666666667,145.0,0.011015141094572202,0.0,0.012464805565181421,0.0
append,static,mean,30,0.4613333333333334,155.0,0.003785938897200181,0.0,0.004284193169210639,0.0
append,static,mean,32,0.44166666666666665,165.0,0.025383721817994545,0.0,0.028724385304321306,0.0
append,static,mean,34,0.458,175.0,0.006082762530298225,0.0,0.006883293785197128,0.0
append,static,mean,36,0.442,185.0,0.011357816691600558,0.0,0.012852579507631934,0.0
append,static,mean,38,0.4626666666666666,195.0,0.008326663997864511,0.0,0.009422507333212538,0.0
