scenario,policy,method,seed,step,corpus_size,recall@10,kmeans_fits,wall_s,n_tenants
append,static,mean,42,20,52500,0.502,105,0.6464300155639648,
append,static,hmrc,42,20,52500,0.638,105,0.6694889068603516,
append,static,mean,42,22,57500,0.474,115,0.7548007965087891,
append,static,hmrc,42,22,57500,0.607,115,0.779918909072876,
append,static,mean,42,24,62500,0.506,125,0.8663690090179443,
append,static,hmrc,42,24,62500,0.594,125,0.8945839405059814,
append,static,mean,42,26,67500,0.47,135,0.9930129051208496,
append,static,hmrc,42,26,67500,0.598,135,1.0249547958374023,
append,static,mean,42,28,72500,0.473,145,1.1199889183044434,
append,static,hmrc,42,28,72500,0.599,145,1.154958724975586,
append,static,mean,42,30,77500,0.457,155,1.2545008659362793,
append,static,hmrc,42,30,77500,0.591,155,1.2912278175354004,
append,static,mean,42,32,82500,0.421,165,1.389967918395996,
append,static,hmrc,42,32,82500,0.59,165,1.4285969734191895,
append,static,mean,42,34,87500,0.465,175,1.5298168659210205,
append,static,hmrc,42,34,87500,0.601,175,1.5709059238433838,
append,static,mean,42,36,92500,0.429,185,1.674020767211914,
append,static,hmrc,42,36,92500,0.584,185,1.7178120613098145,
append,static,mean,42,38,97500,0.46,195,1.8160970211029053,
append,static,hmrc,42,38,97500,0.581,195,1.861341953277588,
append,static,mean,43,20,52500,0.527,105,0.8628568649291992,
append,static,hmrc,43,20,52500,0.671,105,0.8879618644714355,
append,static,mean,43,22,57500,0.498,115,1.03281569480896,
append,static,hmrc,43,22,57500,0.62,115,1.0616297721862793,
append,static,mean,43,24,62500,0.506,125,1.159576654434204,
append,static,hmrc,43,24,62500,0.595,125,1.1895418167114258,
append,static,mean,43,26,67500,0.514,135,1.2800829410552979,
append,static,hmrc,43,26,67500,0.579,135,1.3128628730773926,
append,static,mean,43,28,72500,0.463,145,1.4098587036132812,
append,static,hmrc,43,28,72500,0.584,145,1.4439008235931396,
append,static,mean,43,30,77500,0.463,155,1.5426197052001953,
append,static,hmrc,43,30,77500,0.58,155,1.576436996459961,
append,static,mean,43,32,82500,0.47,165,1.6714057922363281,
append,static,hmrc,43,32,82500,0.577,165,1.708972692489624,
append,static,mean,43,34,87500,0.454,175,1.8022546768188477,
append,static,hmrc,43,34,87500,0.569,175,1.8420989513397217,
append,static,mean,43,36,92500,0.447,185,1.9387528896331787,
append,static,hmrc,43,36,92500,0.583,185,1.9788258075714111,
append,static,mean,43,38,97500,0.472,195,2.0797476768493652,
append,static,hmrc,43,38,97500,0.599,195,2.121750593185425,
append,static,mean,44,20,52500,0.538,105,0.7643427848815918,
append,static,hmrc,44,20,52500,0.648,105,0.789442777633667,
append,static,mean,44,22,57500,0.518,115,0.8838250637054443,
append,static,hmrc,44,22,57500,0.618,115,0.9114880561828613,
append,static,mean,44,24,62500,0.506,125,1.008181095123291,
append,static,hmrc,44,24,62500,0.597,125,1.037297010421753,
append,static,mean,44,26,67500,0.521,135,1.1283950805664062,
append,static,hmrc,44,26,67500,0.605,135,1.160114049911499,
append,static,mean,44,28,72500,0.485,145,1.2560229301452637,
append,static,hmrc,44,28,72500,0.575,145,1.2902657985687256,
append,static,mean,44,30,77500,0.464,155,1.3823649883270264,
append,static,hmrc,44,30,77500,0.569,155,1.41890287399292,
append,static,mean,44,32,82500,0.434,165,1.515927791595459,
append,static,hmrc,44,32,82500,0.58,165,1.5553460121154785,
append,static,mean,44,34,87500,0.455,175,1.65464186668396,
append,static,hmrc,44,34,87500,0.569,175,1.6960959434509277,
append,static,mean,44,36,92500,0.45,185,1.7928049564361572,
append,static,hmrc,44,36,92500,0.615,185,1.8359730243682861,
append,static,mean,44,38,97500,0.456,195,1.936694860458374,
append,static,hmrc,44,38,97500,0.582,195,1.9848508834838867,
append,periodic,hmrc,42,20,52500,0.647,105,0.8418197631835938,
append,periodic,hmrc,42,22,57500,0.628,115,0.9468169212341309,
append,periodic,hmrc,42,24,62500,0.577,125,1.0560510158538818,
append,periodic,hmrc,42,26,67500,0.606,135,1.1642251014709473,
append,periodic,hmrc,42,28,72500,0.603,145,1.2723908424377441,
append,periodic,hmrc,42,30,77500,0.574,155,1.3861479759216309,
append,periodic,hmrc,42,32,82500,0.592,165,1.4951119422912598,
append,periodic,hmrc,42,34,87500,0.549,175,1.6073439121246338,
append,periodic,hmrc,42,36,92500,0.593,185,1.7256388664245605,
append,periodic,hmrc,42,38,97500,0.563,195,1.8402049541473389,
append,periodic,hmrc,43,20,52500,0.641,105,0.8729019165039062,
append,periodic,hmrc,43,22,57500,0.629,115,0.9784882068634033,
append,periodic,hmrc,43,24,62500,0.606,125,1.0861310958862305,
