scenario,policy,method,step,recall@10_mean,kmeans_fits_mean,recall@10_std,kmeans_fits_std,recall@10_ci95,kmeans_fits_ci95
append,drift,hmrc,20,0.6326666666666667,105.0,0.008621678104251759,0.0,0.009756347221737868,0.0
append,drift,hmrc,22,0.639,115.0,0.01951922129594315,0.0,0.022088078232385924,0.0
append,drift,hmrc,24,0.587,125.0,0.014730919862656225,0.0,0.016669605074306138,0.0
append,drift,hmrc,26,0.5916666666666667,135.0,0.030171730698342964,0.0,0.03414252740758621,0.0
append,drift,hmrc,28,0.599,145.0,0.019000000000000017,0.0,0.021500524024621683,0.0
append,drift,hmrc,30,0.5903333333333333,155.0,0.01115048578911854,0.0,0.012617962505007664,0.0
append,drift,hmrc,32,0.597,165.0,0.006082762530298225,0.0,0.006883293785197128,0.0
append,drift,hmrc,34,0.5833333333333334,175.0,0.0005773502691896344,0.0,0.0006533333333333431,0.0
append,drift,hmrc,36,0.589,185.0,0.013228756555322985,0.0,0.014969747270189114,0.0
append,drift,hmrc,38,0.6123333333333333,195.0,0.014153915830374824,0.0,0.016016663544918253,0.0
append,periodic,hmrc,20,0.6326666666666667,105.0,0.008621678104251759,0.0,0.009756347221737868,0.0
append,periodic,hmrc,22,0.639,115.0,0.01951922129594315,0.0,0.022088078232385924,0.0
append,periodic,hmrc,24,0.587,125.0,0.014730919862656225,0.0,0.016669605074306138,0.0
append,periodic,hmrc,26,0.5916666666666667,135.0,0.030171730698342964,0.0,0.03414252740758621,0.0
append,periodic,hmrc,28,0.599,145.0,0.019000000000000017,0.0,0.021500524024621683,0.0
append,periodic,hmrc,30,0.5903333333333333,155.0,0.01115048578911854,0.0,0.012617962505007664,0.0
append,periodic,hmrc,32,0.597,165.0,0.006082762530298225,0.0,0.006883293785197128,0.0
append,periodic,hmrc,34,0.5833333333333334,175.0,0.0005773502691896344,0.0,0.0006533333333333431,0.0
append,periodic,hmrc,36,0.589,185.0,0.013228756555322985,0.0,0.014969747270189114,0.0
append,periodic,hmrc,38,0.6123333333333333,195.0,0.014153915830374824,0.0,0.016016663544918253,0.0
append,static,hmrc,20,0.6483333333333333,105.0,0.01755942292142123,0.0,0.01987035759897418,0.0
append,static,hmrc,22,0.6116666666666667,115.0,0.024583192089989693,0.0,0.027818500638563826,0.0
append,static,hmrc,24,0.604,125.0,0.038314488121335984,0.0,0.043356924860203455,0.0
append,static,hmrc,26,0.5846666666666667,135.0,0.013613718571108114,0.0,0.01540537280013411,0.0
append,static,hmrc,28,0.592,145.0,0.009539392014169439,0.0,0.01079483827268074,0.0
append,static,hmrc,30,0.5873333333333334,155.0,0.03150132272355127,0.0,0.035647102422372345,0.0
append,static,hmrc,32,0.581,165.0,0.012489995996796807,0.0,0.01413376099981885,0.0
append,static,hmrc,34,0.5863333333333333,175.0,0.008082903768654776,0.0,0.009146666666666685,0.0
append,static,hmrc,36,0.593,185.0,0.01228820572744453,0.0,0.013905413813811298,0.0
append,static,hmrc,38,0.5996666666666667,195.0,0.01582192571507448,0.0,0.017904194418565167,0.0
append,static,mean,20,0.513,105.0,0.010440306508910573,0.0,0.011814318995749775,0.0
append,static,mean,22,0.4736666666666667,115.0,0.026388128644019692,0.0,0.02986097862502908,0.0
append,static,mean,24,0.457,125.0,0.024576411454889,0.0,0.027810827627622527,0.0
append,static,mean,26,0.46466666666666673,135.0,0.03271594921950657,0.0,0.037021581693805435,0.0
append,static,mean,28,0.45933333333333337,145.0,0.011503622617824907,0.0,0.013017574445511873,0.0
append,static,mean,30,0.46399999999999997,155.0,0.029461839725312456,0.0,0.03333921014861228,0.0
append,static,mean,32,0.453,165.0,0.01670329308849008,0.0,0.018901555491546207,0.0
append,static,mean,34,0.46166666666666667,175.0,0.013613718571108073,0.0,0.015405372800134065,0.0
append,static,mean,36,0.4663333333333333,185.0,0.03089228598426044,0.0,0.03495791247263551,0.0
append,static,mean,38,0.46599999999999997,195.0,0.01928730152198589,0.0,0.02182563630229366,0.0
deletes,drift,hmrc,2,0.7563333333333334,200.0,0.018770544300401478,0.0,0.021240870457158275,0.0
deletes,drift,hmrc,5,0.7886666666666667,201.33333333333334,0.021548395145191985,0.5773502691896216,0.024384304605854796,0.6533333333333287
deletes,drift,hmrc,8,0.7736666666666667,252.66666666666666,0.007637626158259719,4.04145188432738,0.008642787616144313,4.573333333333332
deletes,drift,hmrc,11,0.7773333333333333,314.0,0.01858314648635517,3.4641016151377544,0.021028809867523316,3.92
deletes,drift,hmrc,14,0.778,378.6666666666667,0.014106735979665901,3.5118845842842394,0.01596327451788429,3.9740715197948293
deletes,periodic,hmrc,2,0.7573333333333334,398.6666666666667,0.02354428451521377,0.5773502691896216,0.026642866045362184,0.6533333333333287
deletes,periodic,hmrc,5,0.7883333333333334,598.6666666666666,0.018009256878986787,0.577350269189634,0.020379392641696758,0.6533333333333425
deletes,periodic,hmrc,8,0.7763333333333334,598.6666666666666,0.0072341781380702306,0.577350269189634,0.008186243202945885,0.6533333333333425
deletes,periodic,hmrc,11,0.782,798.6666666666666,0.016643316977093266,0.577350269189634,0.01883368613238881,0.6533333333333425
deletes,periodic,hmrc,14,0.7806666666666667,798.6666666666666,0.01656301099840646,0.577350269189634,0.018742811362700576,0.6533333333333425
deletes,static,hmrc,2,0.7833333333333333,200.0,0.02212088003071611,0.0,0.025032132239272913,0.0
deletes,static,hmrc,5,0.794,200.0,0.013747727084867533,0.0,0.015557017709059807,0.0
deletes,static,hmrc,8,0.7823333333333333,200.0,0.015307950004273435,0.0,0.01732257614918886,0.0
deletes,static,hmrc,11,0.7736666666666667,200.0,0.018475208614068026,0.0,0.020906666666666667,0.0
deletes,static,hmrc,14,0.7736666666666667,200.0,0.014153915830374742,0.0,0.01601666354491816,0.0
deletes,static,mean,2,0.5723333333333334,200.0,0.04282911782109609,0.0,0.04846570929820149,0.0
deletes,static,mean,5,0.5936666666666667,200.0,0.035641735835019756,0.0,0.04033242092631901,0.0
deletes,static,mean,8,0.6026666666666666,200.0,0.017387735140993305,0.0,0.019676074585930785,0.0
deletes,static,mean,11,0.6013333333333333,200.0,0.01537313674346696,0.0,0.01739634188877397,0.0
deletes,static,mean,14,0.614,200.0,0.007000000000000006,0.0,0.007921245693281672,0.0
tenants,drift,hmrc,3,0.9973333333333333,160.0,0.0028867513459481155,0.0,0.0032666666666666517,0.0
tenants,drift,hmrc,7,0.9916666666666667,245.0,0.0020816659994661213,1.0,0.002355626833303127,1.1316065276116665
tenants,drift,hmrc,11,0.991,320.6666666666667,0.0051961524227066526,4.932882862316243,0.005880000000000024,5.582082446940782
tenants,drift,hmrc,15,0.985,361.0,0.006082762530298243,6.244997998398398,0.00688329378519715,7.066880499909419
tenants,drift,hmrc,19,0.9846666666666666,393.0,0.009865765724632514,5.5677643628300215,0.011164164893881596,6.300518497182064
tenants,periodic,hmrc,3,0.967,40.0,0.016643316977093234,0.0,0.018833686132388776,0.0
tenants,periodic,hmrc,7,0.9860000000000001,82.0,0.0030000000000000027,0.0,0.003394819582835003,0.0
tenants,periodic,hmrc,11,0.9913333333333334,125.0,0.006110100926607789,0.0,0.0069142300929154665,0.0
tenants,periodic,hmrc,15,0.9876666666666667,167.66666666666666,0.006110100926607807,0.5773502691896216,0.006914230092915487,0.6533333333333287
tenants,periodic,hmrc,19,0.9823333333333334,168.66666666666666,0.006658328118479392,0.5773502691896216,0.007534607561851586,0.6533333333333287
tenants,static,hmrc,3,0.971,40.0,0.014730919862656249,0.0,0.016669605074306166,0.0
tenants,static,hmrc,7,0.9496666666666665,41.0,0.008962886439832507,0.0,0.010142460801556556,0.0
tenants,static,hmrc,11,0.9266666666666667,42.0,0.013613718571107998,0.0,0.01540537280013398,0.0
tenants,static,hmrc,15,0.9126666666666666,43.0,0.007234178138070281,0.0,0.008186243202945942,0.0
tenants,static,hmrc,19,0.9049999999999999,44.0,0.013527749258468695,0.0,0.015308089364777056,0.0
tenants,static,mean,3,0.9643333333333333,40.0,0.01266227994214844,0.0,0.01432871863698145,0.0
tenants,static,mean,7,0.9456666666666665,41.0,0.007767453465153974,0.0,0.008789701044088095,0.0
tenants,static,mean,11,0.927,42.0,0.0112694276695846,0.0,0.012752557913349465,0.0
tenants,static,mean,15,0.9286666666666666,43.0,0.012423096769056128,0.0,0.014058057397015317,0.0
tenants,static,mean,19,0.908,44.0,0.009539392014169451,0.0,0.010794838272680754,0.0
