scenario,policy,method,seed,step,corpus_size,recall@10,kmeans_fits,wall_s,n_tenants
append,static,mean,42,20,52500,0.518,105,0.6604690551757812,
append,static,hmrc,42,20,52500,0.65,105,0.6845390796661377,
append,static,mean,42,22,57500,0.461,115,0.77988600730896,
append,static,hmrc,42,22,57500,0.631,115,0.8049700260162354,
append,static,mean,42,24,62500,0.447,125,0.8916041851043701,
append,static,hmrc,42,24,62500,0.63,125,0.9220519065856934,
append,static,mean,42,26,67500,0.441,135,1.059863805770874,
append,static,hmrc,42,26,67500,0.58,135,1.0891752243041992,
append,static,mean,42,28,72500,0.459,145,1.1910018920898438,
append,static,hmrc,42,28,72500,0.583,145,1.2257659435272217,
append,static,mean,42,30,77500,0.48,155,1.3248310089111328,
append,static,hmrc,42,30,77500,0.607,155,1.3611750602722168,
append,static,mean,42,32,82500,0.456,165,1.4698781967163086,
append,static,hmrc,42,32,82500,0.591,165,1.5085022449493408,
append,static,mean,42,34,87500,0.457,175,1.6146631240844727,
append,static,hmrc,42,34,87500,0.577,175,1.6560029983520508,
append,static,mean,42,36,92500,0.494,185,1.7425549030303955,
append,static,hmrc,42,36,92500,0.588,185,1.7870709896087646,
append,static,mean,42,38,97500,0.48,195,1.8903119564056396,
append,static,hmrc,42,38,97500,0.617,195,1.9354891777038574,
append,static,mean,43,20,52500,0.501,105,0.8425021171569824,
append,static,hmrc,43,20,52500,0.665,105,0.8683288097381592,
append,static,mean,43,22,57500,0.504,115,0.969214916229248,
append,static,hmrc,43,22,57500,0.62,115,0.9972279071807861,
append,static,mean,43,24,62500,0.485,125,1.0954110622406006,
append,static,hmrc,43,24,62500,0.622,125,1.1254189014434814,
append,static,mean,43,26,67500,0.502,135,1.22654390335083,
append,static,hmrc,43,26,67500,0.6,135,1.2586548328399658,
append,static,mean,43,28,72500,0.471,145,1.3616418838500977,
append,static,hmrc,43,28,72500,0.602,145,1.393320083618164,
append,static,mean,43,30,77500,0.482,155,1.4981019496917725,
append,static,hmrc,43,30,77500,0.604,155,1.534409761428833,
append,static,mean,43,32,82500,0.468,165,1.6291589736938477,
append,static,hmrc,43,32,82500,0.567,165,1.6681571006774902,
append,static,mean,43,34,87500,0.451,175,1.7586989402770996,
append,static,hmrc,43,34,87500,0.591,175,1.7967610359191895,
append,static,mean,43,36,92500,0.433,185,1.897258996963501,
append,static,hmrc,43,36,92500,0.607,185,1.936872959136963,
append,static,mean,43,38,97500,0.474,195,2.0296947956085205,
append,static,hmrc,43,38,97500,0.596,195,2.072227954864502,
append,static,mean,44,20,52500,0.52,105,0.7854499816894531,
append,static,hmrc,44,20,52500,0.63,105,0.8106920719146729,
append,static,mean,44,22,57500,0.456,115,0.9085869789123535,
append,static,hmrc,44,22,57500,0.584,115,0.9357039928436279,
append,static,mean,44,24,62500,0.439,125,1.0392780303955078,
append,static,hmrc,44,24,62500,0.56,125,1.0688698291778564,
append,static,mean,44,26,67500,0.451,135,1.1689279079437256,
append,static,hmrc,44,26,67500,0.574,135,1.2006797790527344,
append,static,mean,44,28,72500,0.448,145,1.2978260517120361,
append,static,hmrc,44,28,72500,0.591,145,1.3324978351593018,
append,static,mean,44,30,77500,0.43,155,1.4382457733154297,
append,static,hmrc,44,30,77500,0.551,155,1.4749889373779297,
append,static,mean,44,32,82500,0.435,165,1.5718998908996582,
append,static,hmrc,44,32,82500,0.585,165,1.6111478805541992,
append,static,mean,44,34,87500,0.477,175,1.7151737213134766,
append,static,hmrc,44,34,87500,0.591,175,1.7567527294158936,
append,static,mean,44,36,92500,0.472,185,1.861069917678833,
append,static,hmrc,44,36,92500,0.584,185,1.9051718711853027,
append,static,mean,44,38,97500,0.444,195,1.9994568824768066,
append,static,hmrc,44,38,97500,0.586,195,2.044404983520508,
append,periodic,hmrc,42,20,52500,0.642,105,0.8814570903778076,
append,periodic,hmrc,42,22,57500,0.638,115,0.9892292022705078,
append,periodic,hmrc,42,24,62500,0.574,125,1.095290184020996,
append,periodic,hmrc,42,26,67500,0.606,135,1.2085881233215332,
append,periodic,hmrc,42,28,72500,0.62,145,1.3213109970092773,
append,periodic,hmrc,42,30,77500,0.603,155,1.4305710792541504,
append,periodic,hmrc,42,32,82500,0.59,165,1.552887201309204,
append,periodic,hmrc,42,34,87500,0.583,175,1.6749260425567627,
append,periodic,hmrc,42,36,92500,0.579,185,1.779494285583496,
append,periodic,hmrc,42,38,97500,0.62,195,1.900723934173584,
append,periodic,hmrc,43,20,52500,0.631,105,0.8703742027282715,
append,periodic,hmrc,43,22,57500,0.659,115,0.9856412410736084,
append,periodic,hmrc,43,24,62500,0.603,125,1.0958161354064941,
append,periodic,hmrc,43,26,67500,0.612,135,1.2089629173278809,
append,periodic,hmrc,43,28,72500,0.594,145,1.3229680061340332,
append,periodic,hmrc,43,30,77500,0.582,155,1.4414949417114258,
append,periodic,hmrc,43,32,82500,0.6,165,1.560420036315918,
append,periodic,hmrc,43,34,87500,0.584,175,1.675889015197754,
append,periodic,hmrc,43,36,92500,0.604,185,1.7997360229492188,
append,periodic,hmrc,43,38,97500,0.621,195,1.9231641292572021,
append,periodic,hmrc,44,20,52500,0.625,105,0.8622348308563232,
append,periodic,hmrc,44,22,57500,0.62,115,0.9663798809051514,
append,periodic,hmrc,44,24,62500,0.584,125,1.074105978012085,
append,periodic,hmrc,44,26,67500,0.557,135,1.181859016418457,
append,periodic,hmrc,44,28,72500,0.583,145,1.2910988330841064,
append,periodic,hmrc,44,30,77500,0.586,155,1.4068129062652588,
append,periodic,hmrc,44,32,82500,0.601,165,1.5139718055725098,
append,periodic,hmrc,44,34,87500,0.583,175,1.6291570663452148,
append,periodic,hmrc,44,36,92500,0.584,185,1.742823839187622,
append,periodic,hmrc,44,38,97500,0.596,195,1.846235752105713,
append,drift,hmrc,42,20,52500,0.642,105,0.8527600765228271,
append,drift,hmrc,42,22,57500,0.638,115,0.9548861980438232,
append,drift,hmrc,42,24,62500,0.574,125,1.058938980102539,
append,drift,hmrc,42,26,67500,0.606,135,1.1716792583465576,
append,drift,hmrc,42,28,72500,0.62,145,1.2849581241607666,
append,drift,hmrc,42,30,77500,0.603,155,1.3961780071258545,
append,drift,hmrc,42,32,82500,0.59,165,1.5206120014190674,
append,drift,hmrc,42,34,87500,0.583,175,1.6471478939056396,
append,drift,hmrc,42,36,92500,0.579,185,1.7625911235809326,
append,drift,hmrc,42,38,97500,0.62,195,1.900547981262207,
append,drift,hmrc,43,20,52500,0.631,105,0.8391928672790527,
append,drift,hmrc,43,22,57500,0.659,115,0.9482560157775879,
append,drift,hmrc,43,24,62500,0.603,125,1.0508089065551758,
append,drift,hmrc,43,26,67500,0.612,135,1.156026840209961,
append,drift,hmrc,43,28,72500,0.594,145,1.2628939151763916,
append,drift,hmrc,43,30,77500,0.582,155,1.372054100036621,
append,drift,hmrc,43,32,82500,0.6,165,1.4739339351654053,
append,drift,hmrc,43,34,87500,0.584,175,1.5755858421325684,
append,drift,hmrc,43,36,92500,0.604,185,1.682466983795166,
append,drift,hmrc,43,38,97500,0.621,195,1.787734031677246,
append,drift,hmrc,44,20,52500,0.625,105,0.6990599632263184,
append,drift,hmrc,44,22,57500,0.62,115,0.7925500869750977,
append,drift,hmrc,44,24,62500,0.584,125,0.8942010402679443,
append,drift,hmrc,44,26,67500,0.557,135,0.9946000576019287,
append,drift,hmrc,44,28,72500,0.583,145,1.103437900543213,
append,drift,hmrc,44,30,77500,0.586,155,1.218432903289795,
append,drift,hmrc,44,32,82500,0.601,165,1.3292899131774902,
append,drift,hmrc,44,34,87500,0.583,175,1.446855068206787,
append,drift,hmrc,44,36,92500,0.584,185,1.5634920597076416,
append,drift,hmrc,44,38,97500,0.596,195,1.674968957901001,
deletes,static,mean,42,2,94120,0.6,200,0.1761777400970459,
deletes,static,hmrc,42,2,94120,0.76,200,0.21663689613342285,
deletes,static,mean,42,5,88587,0.623,200,0.3781087398529053,
deletes,static,hmrc,42,5,88587,0.797,200,0.4170076847076416,
deletes,static,mean,42,8,83379,0.609,200,0.5713326930999756,
deletes,static,hmrc,42,8,83379,0.765,200,0.6118137836456299,
deletes,static,mean,42,11,78477,0.594,200,0.7631337642669678,
deletes,static,hmrc,42,11,78477,0.763,200,0.8031187057495117,
deletes,static,mean,42,14,73863,0.614,200,0.9602828025817871,
deletes,static,hmrc,42,14,73863,0.765,200,1.0019609928131104,
deletes,static,mean,43,2,94120,0.523,200,0.17131495475769043,
deletes,static,hmrc,43,2,94120,0.786,200,0.20952510833740234,
deletes,static,mean,43,5,88587,0.554,200,0.3657212257385254,
deletes,static,hmrc,43,5,88587,0.779,200,0.4040820598602295,
deletes,static,mean,43,8,83379,0.583,200,0.5627238750457764,
deletes,static,hmrc,43,8,83379,0.788,200,0.601625919342041,
deletes,static,mean,43,11,78477,0.619,200,0.7551901340484619,
deletes,static,hmrc,43,11,78477,0.763,200,0.7935729026794434,
deletes,static,mean,43,14,73863,0.607,200,0.9373090267181396,
deletes,static,hmrc,43,14,73863,0.766,200,0.9771888256072998,
deletes,static,mean,44,2,94120,0.594,200,0.17762470245361328,
deletes,static,hmrc,44,2,94120,0.804,200,0.21979904174804688,
deletes,static,mean,44,5,88587,0.604,200,0.42813992500305176,
deletes,static,hmrc,44,5,88587,0.806,200,0.4705488681793213,
deletes,static,mean,44,8,83379,0.616,200,0.6445839405059814,
deletes,static,hmrc,44,8,83379,0.794,200,0.687018871307373,
deletes,static,mean,44,11,78477,0.591,200,0.8560550212860107,
deletes,static,hmrc,44,11,78477,0.795,200,0.8983900547027588,
