scenario,policy,method,recall@10_mean,kmeans_fits_mean,recall@10_std,kmeans_fits_std,recall@10_ci95,kmeans_fits_ci95
append,drift,hmrc,0.6021333333333333,150.0,0.02294481134845286,29.213837061606075,0.00821069529212213,10.454037332615762
append,periodic,hmrc,0.6021333333333333,150.0,0.02294481134845286,29.213837061606075,0.00821069529212213,10.454037332615762
append,static,hmrc,0.5988,150.0,0.025686975097414102,29.213837061606075,0.009191965987352413,10.454037332615762
append,static,mean,0.46786666666666665,150.0,0.025049927157073975,29.213837061606075,0.00896400130962324,10.454037332615762
deletes,drift,hmrc,0.7748,269.3333333333333,0.017913283179967723,71.24170795524874,0.009065372064436557,36.053278599563974
deletes,periodic,hmrc,0.7769333333333334,638.6666666666666,0.01817952799429178,154.92010229546744,0.009200110530737002,78.4003888879244
deletes,static,hmrc,0.7814,200.0,0.01638291793301794,0.0,0.008290900393403211,0.0
deletes,static,mean,0.5968,200.0,0.027074500391116564,0.0,0.013701587645232938,0.0
tenants,drift,hmrc,0.9899333333333333,295.93333333333334,0.006974101751343725,87.09966923560836,0.003529382445194136,44.07851427219892
tenants,periodic,hmrc,0.9828666666666667,116.66666666666667,0.011587349423689046,51.66052190802493,0.00586400788236548,26.143831224805425
tenants,static,hmrc,0.9329999999999999,42.0,0.02714248120040401,1.4638501094227998,0.013735990681417917,0.7408103670980853
tenants,static,mean,0.9347333333333334,42.0,0.021723807436170316,1.4638501094227998,0.010993763403756584,0.7408103670980853
