strategy,method,real_recall@1_mean,pseudo_recall@1_mean,real_recall@5_mean,pseudo_recall@5_mean,real_recall@10_mean,pseudo_recall@10_mean,real_recall@20_mean,pseudo_recall@20_mean,e2e_hit10@nprobe1_mean,e2e_hit10@nprobe5_mean,e2e_hit10@nprobe10_mean,real_recall@1_std,pseudo_recall@1_std,real_recall@5_std,pseudo_recall@5_std,real_recall@10_std,pseudo_recall@10_std,real_recall@20_std,pseudo_recall@20_std,e2e_hit10@nprobe1_std,e2e_hit10@nprobe5_std,e2e_hit10@nprobe10_std,real_recall@1_ci95,pseudo_recall@1_ci95,real_recall@5_ci95,pseudo_recall@5_ci95,real_recall@10_ci95,pseudo_recall@10_ci95,real_recall@20_ci95,pseudo_recall@20_ci95,e2e_hit10@nprobe1_ci95,e2e_hit10@nprobe5_ci95,e2e_hit10@nprobe10_ci95
domain,HMRC-3,0.07443718228031954,0.028666666666666663,0.2131445170660857,0.10933333333333332,0.3402323892519971,0.1865,0.53059186637618,0.31433333333333335,0.05959883378842479,0.17011597891158714,0.27045068270408285,0.0030121024006966326,0.0036170890690351166,0.004368630869831508,0.007285830998131466,0.003361203446182569,0.019943670675179125,0.007568324018552895,0.01975052741911806,0.002990343389873578,0.007554278563570272,0.002776991985200643,0.003408514738463081,0.004093121601472944,0.004943571209027168,0.00824469391656099,0.003803559760331024,0.02256838792057007,0.008564364862474616,0.022349825751247197,0.0033838920997813398,0.008548470933933005,0.0031424622575783284
domain,HMRC-4,0.07498184458968772,0.03383333333333333,0.22503631082062456,0.11866666666666666,0.3553921568627451,0.2025,0.5572803195352215,0.32833333333333337,0.05875479886496412,0.18511099983308296,0.2839258888332499,0.0051118040033772995,0.005033222956847165,0.004436017328565938,0.010503967504392493,0.009807703216431976,0.01199999999999999,0.011752385692463443,0.01229159604499489,0.003334165307200496,0.00597413792961885,0.011473649711957547,0.005784550778093202,0.005695627952893146,0.0050198261656036825,0.011886358193791371,0.01109846098059236,0.013579278331339987,0.013299076364601588,0.013909250319281962,0.0037729632257644387,0.0067603734780091376,0.012983656909580879
domain,Mean,0.07824981844589689,0.0205,0.2097857661583152,0.08016666666666666,0.3174473493100944,0.13833333333333334,0.5019063180827886,0.23966666666666667,0.056093826778912524,0.15943195019650383,0.24123501551592585,0.002530384870146401,0.0034999999999999996,0.003501688729481828,0.005965176722724432,0.005918635916014135,0.002362907813126283,0.016164178923476807,0.0045368858629387335,0.0030555500063261807,0.008809594198153496,0.004912395088319041,0.0028634000364274664,0.0039606228466408325,0.00396253382394584,0.006750232917792136,0.006697567037118451,0.00267388190547831,0.018291490383289276,0.00513396965753056,0.003457680332602575,0.00996899430024036,0.005558898348149316
domain,kRt-b2d2,0.0787037037037037,0.03883333333333333,0.22349310094408134,0.12383333333333334,0.35357661583151784,0.2015,0.5521060275962236,0.32416666666666666,0.06390801810519682,0.17804320287334452,0.28166361598425654,0.0030930873343138713,0.004752192476461078,0.011176642231634669,0.014364307617610171,0.002937307495890234,0.009526279441628817,0.005183838611208841,0.008948929172439212,0.003022124281493452,0.010185325049893945,0.006087447395933399,0.003500157817982546,0.005377612026830406,0.012647561306098015,0.016254744264709655,0.003323876335952067,0.010779999999999991,0.005866065610529321,0.010126666666666681,0.003419855564191708,0.011525780312306612,0.006888595209730876
semi,HMRC-3,0.25608206245461146,0.23950000000000002,0.615831517792302,0.6461666666666667,0.7494553376906318,0.7396666666666666,0.8328794480755265,0.7791666666666667,0.20717984123814312,0.47896318425534096,0.5756237061002326,0.007499415233232688,0.012619429464123954,0.00643493413160761,0.016096065771900127,0.005891423652718992,0.016645820296198408,0.00846565971825291,0.016615755575156134,0.006282823237901265,0.009598409792898999,0.014396275408759353,0.008486387231196478,0.014280228756337662,0.0072818134680782826,0.018214413096348903,0.00666677346234258,0.018836518904628886,0.009579795797714136,0.01880249747004662,0.007109683787839338,0.010861623176336252,0.016290919225847397
semi,HMRC-4,0.2470951343500363,0.235,0.6148329702251271,0.6598333333333333,0.7468228031953522,0.749,0.8277959331880901,0.7873333333333333,0.20230345518277415,0.4742113169754632,0.5711901185111,0.007626893177667041,0.0029999999999999923,0.0024710707314481075,0.01588500340992516,0.005455693246665417,0.013444329659748682,0.009033570999997746,0.014224392195567967,0.003974588849871695,0.002182723557105987,0.004016427780175564,0.00863064210524491,0.003394819582834991,0.002796279769896814,0.017975573549804894,0.006173698090573472,0.015213691202334746,0.0102224479112409,0.016096415059813157,0.004497670687087356,0.002469984225192891,0.004545015893727505
semi,Mean,0.18690994916485112,0.09116666666666667,0.47657952069716775,0.2975,0.6271786492374728,0.42783333333333334,0.7638888888888888,0.5613333333333334,0.1368953062191818,0.3409024692683648,0.4552594589947714,0.011796476977207287,0.008621678104251705,0.01277056000838056,0.003278719262151005,0.004227716420550192,0.006658328118479397,0.012399294594588434,0.011250925887825145,0.003051375804874804,0.007826831265000098,0.012067434181820587,0.013348970350228506,0.009756347221737807,0.014451249066739941,0.003710220119256184,0.004784111498385627,0.007534607561851592,0.014031122701016323,0.012731621176338019,0.003452956778992631,0.008856893349989188,0.013655587291672325
semi,kRt-b2d2,0.245279593318809,0.22683333333333333,0.6138344226579521,0.6423333333333333,0.7480029048656499,0.7406666666666667,0.8307007988380537,0.7873333333333333,0.2029056591390337,0.4765575910973347,0.5751728309489413,0.005918635916014185,0.011514483632943905,0.002056055129431012,0.01245324589548174,0.006030357182368343,0.013344786747390643,0.011983602319105746,0.014580237766694143,0.013386210836198278,0.009257640549328023,0.00884259811537914,0.006697567037118507,0.01302986484111702,0.0023266454055935835,0.014092174345280331,0.006823991551397914,0.015101047792932913,0.013560722608602369,0.01649909223092124,0.015147923562227997,0.010476006475902046,0.010006341748409656
timebatch,HMRC-3,0.18355119825708063,0.09349999999999999,0.4991830065359477,0.24866666666666667,0.670479302832244,0.35266666666666663,0.801470588235294,0.496,0.1799664259247923,0.4378944836760819,0.5555915703883146,0.0,0.0018027756377319963,0.0,0.0040414518843273845,0.0,0.006048415770541376,0.0,0.0027838821814150133,0.0009922787623617686,0.010504218939474615,0.0072065120790676404,0.0,0.0020400326794768123,0.0,0.004573333333333338,0.0,0.006844426767653969,0.0,0.0031502592485910348,0.0011228691246990032,0.011886642719371572,0.008154936109985264
timebatch,HMRC-4,0.2088779956427015,0.10783333333333334,0.519880174291939,0.2738333333333334,0.6745642701525054,0.381,0.8036492374727668,0.5206666666666667,0.18961775997329325,0.4470038390919713,0.5615089300617593,0.0,0.006331139971074196,0.0,0.00351188458428425,0.0,0.004330127018922181,0.0,0.004041451884327364,0.0007649099807971797,0.0010423965946249898,0.003552628384876123,0.0,0.007164359318490699,0.0,0.003974071519794841,0.0,0.004899999999999986,0.0,0.004573333333333315,0.0008655771273054031,0.0011795827908378106,0.004020177470504313
timebatch,Mean,0.12881263616557734,0.07566666666666666,0.4553376906318083,0.217,0.6669389978213508,0.32666666666666666,0.8150871459694989,0.4706666666666666,0.116360663239348,0.3918191917134218,0.5460775498585219,0.0,0.00028867513459481214,0.0,0.002645751311064593,0.0,0.0033291640592397163,0.0,0.013530828996529838,0.005517716152778046,0.009150484700378497,0.005971470608739531,0.0,0.00032666666666666586,0.0,0.0029939494540378183,0.0,0.003767303780925816,0.0,0.01531157441647038,0.006243883615991969,0.010354748217758992,0.006757355120290865
timebatch,kRt-b2d2,0.2144153957879448,0.10966666666666668,0.5216957153231663,0.27016666666666667,0.6736564996368918,0.3786666666666667,0.8084604212055192,0.5251666666666667,0.18922180168702277,0.45069680558857295,0.55581913807847,0.004687999758052041,0.0075221893975978395,0.00781895580343101,0.009169696468985975,0.0011006132582591294,0.004310839052125848,0.0023793286895572594,0.0025166114784236186,0.008457793123604672,0.011931823963379235,0.010857222199252217,0.005304971127653603,0.008512158624252985,0.008847981426269653,0.01037648838052218,0.001245461147421976,0.004878173610868899,0.002692463876436707,0.0028478139764466135,0.009570893907860112,0.01350212988327325,0.012286103512404103
