strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
semi,42,Mean,201,0.08152604103088379,3677,0.1895424836601307,0.1005,0.47848583877995643,0.298,0.6228213507625272,0.4205,0.7505446623093682,0.5525,0.13720580871306962,0.33199799699549326,0.4416624937406109
semi,42,HMRC-3,603,2.728731155395508,3677,0.2647058823529412,0.243,0.613562091503268,0.6285,0.7478213507625272,0.7205,0.8270697167755992,0.76,0.21442885771543085,0.468436873747495,0.561623246492986
semi,42,HMRC-4,804,2.9636130332946777,3677,0.25462962962962965,0.235,0.6122004357298475,0.6415,0.7426470588235294,0.7335,0.8199891067538126,0.771,0.20380570856284427,0.4757135703555333,0.5708562844266399
semi,42,kRt-b2d2,804,3.944132089614868,3677,0.25163398692810457,0.217,0.6116557734204793,0.628,0.7453703703703703,0.7265,0.8186274509803921,0.7705,0.21832749123685527,0.4872308462694041,0.585378067100651
semi,43,Mean,201,0.09097099304199219,3677,0.17401960784313725,0.0835,0.46296296296296297,0.3005,0.6274509803921569,0.4335,0.7660675381263616,0.5575,0.13370055082623936,0.3440160240360541,0.4646970455683525
semi,43,HMRC-3,603,2.483915090560913,3677,0.25245098039215685,0.25,0.6230936819172114,0.66,0.7445533769063181,0.7505,0.8289760348583878,0.7895,0.20330495743615423,0.4872308462694041,0.5748622934401603
semi,43,HMRC-4,804,3.0520591735839844,3677,0.24727668845315903,0.232,0.6171023965141612,0.6695,0.7448257080610022,0.7575,0.8257080610021786,0.794,0.20530796194291437,0.471707561342013,0.5673510265398097
semi,43,kRt-b2d2,804,4.135382890701294,3677,0.24428104575163398,0.2395,0.6141067538126361,0.6505,0.7437363834422658,0.753,0.8308823529411765,0.796,0.1942914371557336,0.47070605908863294,0.5703555332999499
semi,44,Mean,201,0.09562921524047852,3677,0.19716775599128541,0.0895,0.4882897603485839,0.294,0.6312636165577342,0.4295,0.7750544662309368,0.574,0.13977955911823647,0.3466933867735471,0.4594188376753507
semi,44,HMRC-3,603,2.4603350162506104,3677,0.2510893246187364,0.2255,0.610838779956427,0.65,0.7559912854030502,0.748,0.8425925925925926,0.788,0.20380570856284427,0.48122183274912367,0.5903855783675513
semi,44,HMRC-4,804,3.0177271366119385,3677,0.23937908496732027,0.238,0.6151960784313726,0.6685,0.7529956427015251,0.756,0.8376906318082789,0.797,0.19779669504256384,0.4752128192288433,0.5753630445668503
semi,44,kRt-b2d2,804,4.203054904937744,3677,0.23992374727668844,0.224,0.6157407407407407,0.6485,0.7549019607843137,0.7425,0.8425925925925926,0.7955,0.19609804902451225,0.471735867933967,0.5697848924462231
timebatch,42,Mean,201,0.09352397918701172,3677,0.12881263616557734,0.076,0.4553376906318083,0.22,0.6669389978213508,0.3245,0.8150871459694989,0.475,0.11066599899849774,0.38457686529794693,0.5393089634451678
timebatch,42,HMRC-3,603,3.213175058364868,3677,0.1835511982570806,0.092,0.4991830065359477,0.253,0.670479302832244,0.348,0.8014705882352942,0.4935,0.17885771543086174,0.4258517034068136,0.5490981963927856
timebatch,42,HMRC-4,804,3.5592901706695557,3677,0.2088779956427015,0.103,0.519880174291939,0.2705,0.6745642701525054,0.386,0.8036492374727668,0.52,0.1897846770155233,0.44667000500751125,0.5608412618928392
timebatch,42,kRt-b2d2,804,5.32950496673584,3677,0.20915032679738563,0.1145,0.5130718954248366,0.2805,0.6726579520697168,0.3795,0.8058278867102396,0.5225,0.1827741612418628,0.4531797696544817,0.5648472709063596
timebatch,43,Mean,201,0.09112405776977539,3677,0.12881263616557734,0.0755,0.4553376906318083,0.215,0.6669389978213508,0.325,0.8150871459694989,0.4555,0.12168252378567852,0.4021031547320981,0.5483224837255883
timebatch,43,HMRC-3,603,3.087651014328003,3677,0.1835511982570806,0.093,0.4991830065359477,0.245,0.670479302832244,0.3505,0.8014705882352942,0.4955,0.18027040560841262,0.442663995993991,0.5633450175262894
timebatch,43,HMRC-4,804,3.509449005126953,3677,0.2088779956427015,0.1055,0.519880174291939,0.2775,0.6745642701525054,0.3785,0.8036492374727668,0.525,0.19028542814221333,0.44616925388082124,0.558337506259389
timebatch,43,kRt-b2d2,804,5.525096893310547,3677,0.2181372549019608,0.1135,0.528322440087146,0.263,0.6748366013071896,0.374,0.8104575163398693,0.5275,0.19879819729594392,0.4611917876815223,0.5588382573860792
timebatch,44,Mean,201,0.056346893310546875,3677,0.12881263616557734,0.0755,0.4553376906318083,0.216,0.6669389978213508,0.3305,0.8150871459694989,0.4815,0.11673346693386774,0.38877755511022044,0.5506012024048096
timebatch,44,HMRC-3,603,3.1191349029541016,3677,0.1835511982570806,0.0955,0.4991830065359477,0.248,0.670479302832244,0.3595,0.8014705882352942,0.499,0.18077115673510266,0.44516775162744116,0.5543314972458688
timebatch,44,HMRC-4,804,3.461353063583374,3677,0.2088779956427015,0.115,0.519880174291939,0.2735,0.6745642701525054,0.3785,0.8036492374727668,0.517,0.1887831747621432,0.44817225838758135,0.5653480220330496
timebatch,44,kRt-b2d2,804,5.356148958206177,3677,0.21595860566448802,0.101,0.5236928104575164,0.267,0.6734749455337691,0.3825,0.8090958605664488,0.5255,0.18609304652326164,0.43771885942971483,0.5437718859429714
