strategy,method,real_recall@1_mean,pseudo_recall@1_mean,real_recall@5_mean,pseudo_recall@5_mean,real_recall@10_mean,pseudo_recall@10_mean,real_recall@20_mean,pseudo_recall@20_mean,e2e_hit10@nprobe1_mean,e2e_hit10@nprobe5_mean,e2e_hit10@nprobe10_mean,real_recall@1_std,pseudo_recall@1_std,real_recall@5_std,pseudo_recall@5_std,real_recall@10_std,pseudo_recall@10_std,real_recall@20_std,pseudo_recall@20_std,e2e_hit10@nprobe1_std,e2e_hit10@nprobe5_std,e2e_hit10@nprobe10_std,real_recall@1_ci95,pseudo_recall@1_ci95,real_recall@5_ci95,pseudo_recall@5_ci95,real_recall@10_ci95,pseudo_recall@10_ci95,real_recall@20_ci95,pseudo_recall@20_ci95,e2e_hit10@nprobe1_ci95,e2e_hit10@nprobe5_ci95,e2e_hit10@nprobe10_ci95
domain,HMRC-3,0.060639070442992014,0.027999999999999997,0.1956245461147422,0.1085,0.31399782135076254,0.1825,0.497004357298475,0.2973333333333333,0.05125314892846953,0.1544246061811488,0.24407327424001735,0.004912036767780933,0.001802775637731994,0.0065717820616333624,0.003500000000000003,0.003955838520243419,0.005766281297335403,0.008828739148936407,0.01136148464476951,0.006275677010562794,0.009005083397259512,0.005341539444022126,0.005558492870289416,0.0020400326794768092,0.007436671478985568,0.003960622846640836,0.004476452691685129,0.006525161556109811,0.009990658851517108,0.012856730187380894,0.007101597070335327,0.010190211154026307,0.00604452090235063
domain,HMRC-4,0.06318082788671024,0.03216666666666667,0.199800290486565,0.11133333333333334,0.32380174291938996,0.1905,0.5053558460421206,0.3116666666666667,0.052578868302453674,0.15890502420297112,0.24803872475379737,0.0016339869281045737,0.0015275252316519473,0.0052123737182119085,0.0036855573979160017,0.011323868674450845,0.006500000000000006,0.011711295150958706,0.008519585279421395,0.0022947299423915104,0.006668330614400994,0.01163999557443576,0.0018490302738752703,0.0017285575232288666,0.00589835612388009,0.004170600809369216,0.012814163709825846,0.00735544242947584,0.013252578039611728,0.009640818314737514,0.0025967313819161768,0.007545926451528879,0.013171894973402416
domain,Mean,0.07017066085693537,0.020666666666666667,0.19716775599128541,0.07933333333333333,0.31190994916485115,0.13616666666666666,0.48347857661583155,0.24949999999999997,0.05024980690809092,0.14874741972678457,0.23038406975861256,0.0026168364751996314,0.003055050463303895,0.006227993805026836,0.00794250170496257,0.006683681965940464,0.005838093296045653,0.009379953687721283,0.013000000000000012,0.0033213193264360823,0.012287623906871896,0.004285702530201927,0.0029612292370282075,0.0034571150464577337,0.0070476384436933895,0.008987786774902435,0.0075632981411386056,0.006606424482611171,0.010614416821720526,0.01471088485895168,0.003758426630077854,0.013904755421853408,0.004849728958578336
domain,kRt-b2d2,0.06681190994916485,0.031,0.2024328249818446,0.10866666666666668,0.32234931009440815,0.18383333333333332,0.5105301379811183,0.30883333333333335,0.05523183892062874,0.1571830816092406,0.24261638413932388,0.004567808869066495,0.00229128784747792,0.00681009416612601,0.0031754264805429456,0.008716015225911505,0.008326663997864539,0.011685936849494656,0.002020725942163693,0.004213357162085775,0.0016908047347339,0.011767652250646257,0.0051689623331181095,0.0025928362848432985,0.007706347012038322,0.0035933333333333377,0.009863099724404134,0.009422507333212567,0.013223882420145865,0.0022866666666666704,0.00476786246777563,0.0019133256747415936,0.013316352101495425
semi,HMRC-3,0.23493100944081335,0.25066666666666665,0.6154684095860566,0.6905,0.7444625998547568,0.785,0.8217138707334786,0.8193333333333334,0.18864887177125075,0.45626154662856006,0.5355596019279419,0.003226099427000159,0.004310839052125874,0.009815262141034961,0.004769696007084722,0.00562305035074383,0.0073654599313280915,0.010219980255263059,0.006331139971074171,0.00708082756093849,0.007479308905240661,0.005067264206052215,0.0036506751703176367,0.004878173610868929,0.011107014709014824,0.005397419136340373,0.0063630804819907886,0.008334802537153045,0.011564996368918022,0.00716435931849067,0.00801271068885059,0.0084636347791944,0.005734149252701636
semi,HMRC-4,0.22893972403776328,0.24350000000000002,0.6094771241830066,0.7083333333333334,0.7384713144517066,0.7948333333333334,0.8165395787944808,0.8300000000000001,0.18060423969287265,0.4498414288098815,0.5326322817559673,0.00870750210466228,0.011999999999999993,0.012028901321000958,0.0014433756729740177,0.007359662330686042,0.0046457866215888115,0.010705535938856661,0.01011187420807834,0.003059639923188686,0.005515844313756748,0.01003170035140493,0.009853466220828161,0.01357927833133999,0.013611983254841283,0.0016333333333332805,0.008328241934422017,0.00525720246688085,0.012114454349991489,0.0114426628602495,0.003462308509221575,0.006241765430736829,0.011351937600694069
semi,Mean,0.1956245461147422,0.11183333333333334,0.5376724763979666,0.4008333333333334,0.6862745098039217,0.5731666666666667,0.7994734931009441,0.7113333333333333,0.14157107404593863,0.3794664943306743,0.4771265114104022,0.007780922554139339,0.007421814692737441,0.004159927101448643,0.016615755575156155,0.009819039421198187,0.004752192476461075,0.014503604950938604,0.00678847061813876,0.009349309586165594,0.011392286104720501,0.010574473322293153,0.008804942753104917,0.008398573953025864,0.004707400662387964,0.018802497470046645,0.011111289103904149,0.005377612026830404,0.016412374036383008,0.0076818776639858265,0.010579739756367314,0.012891585320521405,0.011966143037562358
semi,kRt-b2d2,0.23356935366739287,0.23183333333333334,0.6152868554829339,0.676,0.7435548293391431,0.7848333333333333,0.8207153231663035,0.8224999999999999,0.18304286511474732,0.4551967187065407,0.5387961047791464,0.0031563795662152856,0.007285830998131445,0.007258191542353274,0.01285496013218249,0.006722406892365096,0.005299371031861525,0.012183078482067978,0.004769696007084741,0.013008829399094033,0.013772964499307169,0.018905357501059313,0.0035717797207492977,0.008244693916560967,0.008213416927982754,0.014546756797765436,0.007607119520662001,0.005996802851890675,0.013786451136713358,0.005397419136340395,0.014720876264601362,0.015585576531979742,0.021393425955030906
timebatch,HMRC-3,0.1702069716775599,0.09366666666666668,0.4547930283224401,0.23199999999999998,0.6056644880174292,0.333,0.7314814814814815,0.46249999999999997,0.14908041755351797,0.3659409454863658,0.45659178480479573,0.0,0.004536885862938739,0.0,0.005267826876426353,0.0,0.002291287847477925,0.0,0.01359227721906817,0.009696920870186271,0.01191987923776988,0.013180912416918687,0.0,0.005133969657530566,0.0,0.0059611072796922375,0.0,0.0025928362848433046,0.0,0.01538110962620489,0.010973098954436586,0.013488613153803172,0.014915606530862853
timebatch,HMRC-4,0.18627450980392157,0.09949999999999999,0.47194989106753815,0.2548333333333333,0.6217320261437909,0.35916666666666663,0.7494553376906318,0.49216666666666664,0.16024036054081123,0.3683859122016358,0.4698714738774829,0.0,0.0054083269131959795,0.0,0.0107509689485801,0.0,0.009673847907287647,0.0,0.013512340039139552,0.0040060090135202765,0.004811729362510273,0.0020237615845404774,0.0,0.0061200980384304255,0.0,0.012165866640363576,0.0,0.010946989439009161,0.0,0.0152906521915988,0.0045332259493707176,0.005444984355717348,0.0022901018193957337
