strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
semi,42,Mean,201,0.06066417694091797,3677,0.18818082788671023,0.1055,0.534041394335512,0.392,0.6971677559912854,0.5685,0.815631808278867,0.715,0.13520280420630945,0.3665498247371057,0.48372558838257385
semi,42,HMRC-3,603,1.0008130073547363,3677,0.2366557734204793,0.246,0.6059368191721133,0.696,0.7483660130718954,0.7915,0.8316993464052288,0.825,0.19539078156312625,0.46292585170340683,0.5375751503006012
semi,42,HMRC-4,804,1.272261142730713,3677,0.21949891067538127,0.2555,0.6023965141612201,0.7075,0.7412854030501089,0.797,0.8287037037037037,0.834,0.1772658988482724,0.4501752628943415,0.542313470205308
semi,42,kRt-b2d2,804,2.2836670875549316,3677,0.23148148148148148,0.2235,0.6070261437908496,0.686,0.7491830065359477,0.7905,0.8346949891067538,0.825,0.18477716574862293,0.4672008012018027,0.5588382573860792
semi,43,Mean,201,0.06124305725097656,3677,0.19498910675381265,0.12,0.5422113289760349,0.42,0.6835511982570807,0.573,0.7952069716775599,0.7035,0.13720580871306962,0.38808212318477714,0.48272408612919376
semi,43,HMRC-3,603,1.1284940242767334,3677,0.2369281045751634,0.2545,0.6255446623093682,0.6875,0.7470043572984749,0.777,0.8221677559912854,0.8125,0.18928392588883325,0.44817225838758135,0.5297946920380571
semi,43,HMRC-4,804,1.3147070407867432,3677,0.2366557734204793,0.2435,0.6233660130718954,0.7075,0.7440087145969498,0.7895,0.8123638344226579,0.8185,0.18327491236855284,0.45518277416124187,0.5222834251377065
semi,43,kRt-b2d2,804,2.141807794570923,3677,0.23202614379084968,0.235,0.6181917211328976,0.6805,0.7453703703703703,0.78,0.8150871459694989,0.817,0.16925388082123186,0.4401602403605408,0.5212819228843265
semi,44,Mean,201,0.06288313865661621,3677,0.2037037037037037,0.11,0.5367647058823529,0.3905,0.6781045751633987,0.578,0.7875816993464052,0.7155,0.1523046092184369,0.3837675350701403,0.4649298597194389
semi,44,HMRC-3,603,1.0730979442596436,3677,0.2312091503267974,0.2515,0.6149237472766884,0.688,0.7380174291938998,0.7865,0.8112745098039216,0.8205,0.1812719078617927,0.45768652979469204,0.5393089634451678
semi,44,HMRC-4,804,1.317835807800293,3677,0.2306644880174292,0.2315,0.6026688453159041,0.71,0.730119825708061,0.798,0.8085511982570807,0.8375,0.1812719078617927,0.4441662493740611,0.5332999499248874
semi,44,kRt-b2d2,804,2.228750228881836,3677,0.2372004357298475,0.237,0.6206427015250545,0.6615,0.7361111111111112,0.784,0.8123638344226579,0.8255,0.1950975487743872,0.45822911455727866,0.5362681340670336
timebatch,42,Mean,201,0.04504704475402832,3677,0.10103485838779956,0.0735,0.40441176470588236,0.202,0.5915032679738562,0.2985,0.7254901960784313,0.439,0.08512769153730596,0.31196795192789184,0.4341512268402604
timebatch,42,HMRC-3,603,1.2172069549560547,3677,0.1702069716775599,0.0885,0.45479302832244006,0.227,0.6056644880174292,0.3335,0.7314814814814815,0.4775,0.1407815631262525,0.35220440881763526,0.44138276553106215
timebatch,42,HMRC-4,804,1.3800859451293945,3677,0.18627450980392157,0.098,0.47194989106753815,0.264,0.6217320261437909,0.365,0.7494553376906318,0.4915,0.15623435152729093,0.3640460691036555,0.46870305458187284
