strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
semi,42,Mean,200,0.0561048984527587,6980,0.097134670487106,0.137,0.3521489971346704,0.4435,0.4969914040114613,0.6105,0.6306590257879656,0.7385,0.108,0.348,0.4835
semi,42,HMRC-3,600,1.0047969818115234,6980,0.1510028653295129,0.2725,0.4541547277936962,0.708,0.5813753581661891,0.7885,0.6826647564469914,0.826,0.144,0.4435,0.567
semi,42,HMRC-4,800,1.269644021987915,6980,0.142836676217765,0.247,0.4583094555873925,0.7085,0.5845272206303725,0.7915,0.6813753581661891,0.839,0.139,0.4305,0.5595
semi,42,kRt-b2d2,800,2.068798065185547,6980,0.1467048710601719,0.2575,0.4527220630372492,0.692,0.5840974212034384,0.787,0.6813753581661891,0.826,0.1415,0.449,0.5785
semi,43,Mean,200,0.0582931041717529,6980,0.1005730659025787,0.139,0.3613180515759312,0.4395,0.5063037249283667,0.6075,0.6419770773638969,0.737,0.0985,0.3565,0.494
semi,43,HMRC-3,600,1.0882680416107178,6980,0.1507163323782235,0.2515,0.4567335243553008,0.692,0.5997134670487106,0.7905,0.7005730659025788,0.83,0.1525,0.449,0.5845
semi,43,HMRC-4,800,1.3786609172821045,6980,0.1426934097421203,0.2595,0.4614613180515759,0.6955,0.6012893982808023,0.7915,0.7031518624641834,0.842,0.145,0.4515,0.5905
semi,43,kRt-b2d2,800,2.151097059249878,6980,0.1458452722063037,0.247,0.4557306590257879,0.675,0.5964183381088826,0.795,0.6952722063037249,0.8365,0.14,0.436,0.567
semi,44,Mean,200,0.0752308368682861,6980,0.0995702005730659,0.141,0.3567335243553008,0.473,0.5121776504297995,0.6335,0.6414040114613181,0.7515,0.0985,0.353,0.503
semi,44,HMRC-3,600,1.1966688632965088,6980,0.1455587392550143,0.2725,0.4680515759312321,0.72,0.6055873925501433,0.808,0.6961318051575931,0.848,0.153,0.451,0.5785
semi,44,HMRC-4,800,1.4928309917449951,6980,0.145702005730659,0.26,0.4743553008595988,0.7195,0.6042979942693409,0.8135,0.6912607449856734,0.86,0.1435,0.4725,0.5835
semi,44,kRt-b2d2,800,2.2138149738311768,6980,0.142836676217765,0.264,0.4710601719197708,0.7165,0.6025787965616046,0.813,0.6916905444126075,0.8505,0.1385,0.452,0.5825
timebatch,42,Mean,200,0.034626007080078125,6980,0.08051575931232091,0.0235,0.17464183381088824,0.08,0.23968481375358167,0.147,0.3346704871060172,0.2525,0.0795,0.167,0.232
timebatch,42,HMRC-3,600,1.3860480785369873,6980,0.062177650429799426,0.033,0.14340974212034385,0.0975,0.20873925501432664,0.166,0.3060171919770774,0.2705,0.052,0.1355,0.1995
timebatch,42,HMRC-4,800,1.6312360763549805,6980,0.06303724928366762,0.0415,0.15773638968481377,0.119,0.22607449856733525,0.191,0.31876790830945556,0.3075,0.0685,0.1705,0.237
timebatch,42,kRt-b2d2,800,2.46258807182312,6980,0.058022922636103154,0.037,0.14756446991404013,0.1255,0.2159025787965616,0.2,0.31289398280802294,0.3135,0.0575,0.144,0.2175
timebatch,43,Mean,200,0.06940102577209473,6980,0.08051575931232091,0.021,0.17464183381088824,0.0835,0.23968481375358167,0.142,0.3346704871060172,0.2495,0.0835,0.173,0.232
timebatch,43,HMRC-3,600,1.7364249229431152,6980,0.062177650429799426,0.029,0.14340974212034385,0.0995,0.20873925501432664,0.166,0.3060171919770774,0.273,0.0745,0.149,0.2125
timebatch,43,HMRC-4,800,1.2981600761413574,6980,0.06303724928366762,0.0395,0.15773638968481377,0.1235,0.22607449856733525,0.1975,0.31876790830945556,0.3035,0.065,0.1625,0.233
timebatch,43,kRt-b2d2,800,2.3531649112701416,6980,0.05759312320916905,0.042,0.1507163323782235,0.1355,0.2170487106017192,0.1875,0.31361031518624644,0.2975,0.0535,0.149,0.2155
timebatch,44,Mean,200,0.07125329971313477,6980,0.08051575931232091,0.0195,0.17464183381088824,0.081,0.23968481375358167,0.152,0.3346704871060172,0.254,0.0865,0.1765,0.2475
timebatch,44,HMRC-3,600,1.1574747562408447,6980,0.062177650429799426,0.0325,0.14340974212034385,0.114,0.20873925501432664,0.1775,0.3060171919770774,0.293,0.071,0.1515,0.224
timebatch,44,HMRC-4,800,1.2578480243682861,6980,0.06303724928366762,0.038,0.15773638968481377,0.133,0.22607449856733525,0.196,0.31876790830945556,0.323,0.0665,0.164,0.2315
timebatch,44,kRt-b2d2,800,2.2647171020507812,6980,0.05945558739255014,0.0345,0.1502865329512894,0.127,0.2160458452722063,0.2115,0.31074498567335246,0.317,0.0635,0.154,0.2245
