strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
semi,42,Mean,200,0.0875749588012695,3452,0.0990730011587485,0.114,0.3337195828505214,0.37,0.4788528389339513,0.54,0.6251448435689455,0.675,0.098,0.33,0.4655
semi,42,HMRC-3,600,2.542325019836426,3452,0.1581691772885284,0.2705,0.4782734646581691,0.6875,0.6118192352259559,0.775,0.7117612977983777,0.8075,0.158,0.4735,0.5965
semi,42,HMRC-4,800,2.9682319164276123,3452,0.15324449594438,0.273,0.4788528389339513,0.6885,0.6095017381228274,0.7785,0.7036500579374276,0.821,0.1555,0.471,0.5955
semi,42,kRt-b2d2,800,4.281141996383667,3452,0.1561413673232908,0.259,0.4753765932792584,0.6775,0.6132676709154113,0.768,0.7158169177288528,0.8195,0.157,0.473,0.5985
semi,43,Mean,200,0.0985162258148193,3452,0.0808227114716106,0.11,0.3033024333719583,0.359,0.4426419466975666,0.504,0.5738702201622248,0.652,0.0785,0.2845,0.43
semi,43,HMRC-3,600,2.5970170497894287,3452,0.1219582850521436,0.242,0.4084588644264195,0.6455,0.5509849362688297,0.7275,0.6483198146002318,0.77,0.117,0.411,0.5455
semi,43,HMRC-4,800,3.05804705619812,3452,0.1263035921205098,0.238,0.4162804171494785,0.647,0.544611819235226,0.736,0.6468713789107764,0.7815,0.115,0.3985,0.5265
semi,43,kRt-b2d2,800,4.585817813873291,3452,0.1199304750869061,0.2405,0.4084588644264195,0.6225,0.540845886442642,0.728,0.6506373117033604,0.7765,0.111,0.398,0.5245
semi,44,Mean,200,0.0964400768280029,3452,0.0924101969872537,0.1135,0.3201042873696408,0.3695,0.466396292004635,0.5325,0.6239860950173812,0.6775,0.0905,0.3185,0.4525
semi,44,HMRC-3,600,2.650631904602051,3452,0.1283314020857474,0.268,0.4342410196987253,0.672,0.5738702201622248,0.7585,0.6853997682502897,0.791,0.1295,0.4245,0.554
semi,44,HMRC-4,800,3.09397029876709,3452,0.1384704519119351,0.2605,0.4342410196987253,0.6775,0.5730011587485515,0.765,0.6853997682502897,0.8015,0.137,0.437,0.567
semi,44,kRt-b2d2,800,4.570996999740601,3452,0.1390498261877172,0.252,0.4423522595596755,0.6805,0.5776361529548089,0.7625,0.6877172653534183,0.802,0.1385,0.438,0.5685
timebatch,42,Mean,200,0.08463096618652344,3452,0.07473928157589803,0.046,0.24942062572421783,0.126,0.36587485515643103,0.1925,0.5,0.3115,0.0775,0.2545,0.375
timebatch,42,HMRC-3,600,2.01170015335083,3452,0.05533024333719583,0.083,0.17207415990730013,0.194,0.2566628041714948,0.285,0.373117033603708,0.4045,0.0515,0.167,0.2555
timebatch,42,HMRC-4,800,2.140570878982544,3452,0.0660486674391657,0.084,0.19206257242178448,0.1985,0.2731749710312862,0.285,0.3823870220162225,0.4095,0.0665,0.1975,0.2805
timebatch,42,kRt-b2d2,800,3.7026398181915283,3452,0.05706836616454229,0.0825,0.1630938586326767,0.191,0.25,0.2855,0.36732329084588644,0.407,0.0615,0.1695,0.253
timebatch,43,Mean,200,0.03730034828186035,3452,0.07473928157589803,0.0345,0.24942062572421783,0.1045,0.36587485515643103,0.189,0.5,0.285,0.0775,0.2505,0.363
timebatch,43,HMRC-3,600,2.065819025039673,3452,0.05533024333719583,0.0555,0.17207415990730013,0.1685,0.2566628041714948,0.245,0.373117033603708,0.363,0.059,0.171,0.253
timebatch,43,HMRC-4,800,2.1548359394073486,3452,0.0660486674391657,0.064,0.19206257242178448,0.1825,0.2731749710312862,0.264,0.3823870220162225,0.38,0.0765,0.2025,0.289
timebatch,43,kRt-b2d2,800,3.929295063018799,3452,0.06025492468134415,0.0675,0.16888760139049827,0.175,0.2508690614136732,0.254,0.3684820393974508,0.3845,0.061,0.1715,0.2475
timebatch,44,Mean,200,0.040040016174316406,3452,0.07473928157589803,0.0445,0.24942062572421783,0.1215,0.36587485515643103,0.199,0.5,0.304,0.0735,0.247,0.361
timebatch,44,HMRC-3,600,2.386417865753174,3452,0.05533024333719583,0.0645,0.17207415990730013,0.1805,0.2566628041714948,0.261,0.373117033603708,0.377,0.0565,0.158,0.2325
timebatch,44,HMRC-4,800,2.3985650539398193,3452,0.0660486674391657,0.0735,0.19206257242178448,0.19,0.2731749710312862,0.272,0.3823870220162225,0.3815,0.065,0.188,0.2675
timebatch,44,kRt-b2d2,800,4.222715854644775,3452,0.06575898030127462,0.0745,0.1801853997682503,0.1865,0.25695249130938586,0.2685,0.3571842410196987,0.3905,0.059,0.1745,0.247
