strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
semi,42,Mean,200,0.0392289161682128,3452,0.1080533024333719,0.1205,0.3786210892236384,0.4345,0.5382387022016223,0.599,0.6741019698725377,0.724,0.1025,0.369,0.526
semi,42,HMRC-3,600,0.6837730407714844,3452,0.1659907300115874,0.2785,0.5020278099652375,0.714,0.630648899188876,0.792,0.727404403244496,0.827,0.161,0.4825,0.6115
semi,42,HMRC-4,800,0.8441150188446045,3452,0.1651216685979142,0.2535,0.4936268829663963,0.7065,0.623117033603708,0.8025,0.7178447276940904,0.838,0.1655,0.478,0.603
semi,42,kRt-b2d2,800,1.5490319728851318,3452,0.1813441483198146,0.2595,0.5002896871378911,0.697,0.6352838933951332,0.794,0.723638470451912,0.8335,0.1835,0.4925,0.6225
semi,43,Mean,200,0.044457197189331,3452,0.0915411355735805,0.1315,0.3589223638470452,0.4415,0.5153534183082271,0.6055,0.6578794901506373,0.7395,0.0885,0.3515,0.494
semi,43,HMRC-3,600,0.8159780502319336,3452,0.1619351100811124,0.293,0.4782734646581691,0.7135,0.6277520278099652,0.8075,0.7317497103128621,0.8365,0.157,0.474,0.6115
semi,43,HMRC-4,800,1.0234639644622805,3452,0.1601969872537659,0.279,0.4768250289687138,0.721,0.6216685979142526,0.8145,0.7247972190034763,0.85,0.157,0.4735,0.6115
semi,43,kRt-b2d2,800,1.759022235870361,3452,0.1558516801853997,0.247,0.4698725376593279,0.697,0.626882966396292,0.8095,0.7346465816917729,0.847,0.151,0.453,0.608
semi,44,Mean,200,0.062852144241333,3452,0.1051564310544611,0.1185,0.3818076477404403,0.443,0.5420046349942063,0.629,0.6871378910776361,0.762,0.104,0.374,0.5295
semi,44,HMRC-3,600,0.7922680377960205,3452,0.1778679026651216,0.2645,0.4901506373117034,0.7245,0.6318076477404403,0.8185,0.7444959443800695,0.8525,0.1645,0.484,0.6145
semi,44,HMRC-4,800,1.042391061782837,3452,0.1668597914252607,0.264,0.4907300115874855,0.7335,0.6318076477404403,0.824,0.7343568945538818,0.8675,0.1735,0.477,0.615
semi,44,kRt-b2d2,800,1.4943962097167969,3452,0.1677288528389339,0.237,0.488702201622248,0.711,0.6352838933951332,0.8175,0.746234067207416,0.854,0.1725,0.4675,0.599
timebatch,42,Mean,200,0.06505513191223145,3452,0.0466396292004635,0.0505,0.14484356894553882,0.141,0.2140787949015064,0.218,0.3093858632676709,0.331,0.0475,0.1385,0.2115
timebatch,42,HMRC-3,600,0.7821738719940186,3452,0.048377752027809966,0.079,0.14397450753186558,0.202,0.21436848203939746,0.2925,0.31517960602549244,0.4165,0.053,0.1455,0.212
timebatch,42,HMRC-4,800,0.8614249229431152,3452,0.06199304750869061,0.0935,0.1555619930475087,0.223,0.23464658169177288,0.3285,0.3334298957126304,0.454,0.062,0.156,0.235
timebatch,42,kRt-b2d2,800,1.5651111602783203,3452,0.056778679026651215,0.093,0.15903823870220163,0.215,0.22595596755504055,0.2925,0.3316917728852839,0.4255,0.056,0.153,0.219
timebatch,43,Mean,200,0.0685739517211914,3452,0.0466396292004635,0.044,0.14484356894553882,0.1335,0.2140787949015064,0.2075,0.3093858632676709,0.313,0.044,0.143,0.2075
timebatch,43,HMRC-3,600,0.8378260135650635,3452,0.048377752027809966,0.063,0.14397450753186558,0.1675,0.21436848203939746,0.254,0.31517960602549244,0.395,0.0515,0.145,0.2185
timebatch,43,HMRC-4,800,0.9086008071899414,3452,0.06199304750869061,0.0725,0.1555619930475087,0.1835,0.23464658169177288,0.274,0.3334298957126304,0.404,0.068,0.164,0.245
timebatch,43,kRt-b2d2,800,1.6113872528076172,3452,0.05880648899188876,0.0705,0.16106604866743918,0.192,0.22943221320973348,0.285,0.3383545770567787,0.408,0.061,0.158,0.227
timebatch,44,Mean,200,0.026958227157592773,3452,0.0466396292004635,0.0505,0.14484356894553882,0.1455,0.2140787949015064,0.216,0.3093858632676709,0.329,0.046,0.1385,0.2015
timebatch,44,HMRC-3,600,0.855553150177002,3452,0.048377752027809966,0.069,0.14397450753186558,0.1825,0.21436848203939746,0.2475,0.31517960602549244,0.3785,0.042,0.137,0.2035
timebatch,44,HMRC-4,800,0.8685040473937988,3452,0.06199304750869061,0.0855,0.1555619930475087,0.2085,0.23464658169177288,0.292,0.3334298957126304,0.4205,0.0605,0.1445,0.2295
timebatch,44,kRt-b2d2,800,1.6291630268096924,3452,0.05619930475086906,0.0955,0.16367323290845887,0.206,0.2369640787949015,0.292,0.3334298957126304,0.4175,0.059,0.1535,0.2255
