size,seed,method,segment_size,n_segments,n_reps,build_time_s,route_us_per_query,centroid_mem_mb,recall@1,recall@5,recall@10
1000000,42,Mean,500,2000,2000,1.594648838043213,81.71308040618896,3.072,0.0785,0.237,0.31
1000000,42,HMRC-3,500,2000,6000,10.102657079696655,299.67498779296875,9.216,0.146,0.389,0.448
1000000,42,kRt-b2d2,500,2000,8000,17.80670475959778,401.1884927749634,12.288,0.142,0.373,0.4465
1000000,42,kRt-b2d2,2000,500,2000,17.03847885131836,118.4380054473877,3.072,0.241,0.406,0.4245
1000000,42,kRt-b2d2,10000,100,400,23.56310725212097,22.169947624206543,0.6144,0.2215,0.2835,0.3255
1000000,42,Mean,50000,20,20,0.3522968292236328,2.18355655670166,0.03072,0.102,0.2935,0.5375
1000000,42,HMRC-3,50000,20,60,21.75435781478882,6.158947944641113,0.09216,0.112,0.3175,0.541
1000000,42,kRt-b2d2,50000,20,80,30.709939002990723,7.339358329772949,0.12288,0.1125,0.317,0.5415
1000000,43,Mean,500,2000,2000,1.8479478359222412,97.2679853439331,3.072,0.0845,0.24,0.328
1000000,43,HMRC-3,500,2000,6000,13.055323839187622,392.3734426498413,9.216,0.1645,0.3995,0.464
1000000,43,kRt-b2d2,500,2000,8000,23.53812289237976,483.2899570465088,12.288,0.163,0.3965,0.4655
1000000,43,kRt-b2d2,2000,500,2000,20.12401795387268,135.79702377319336,3.072,0.2425,0.388,0.4075
1000000,43,kRt-b2d2,10000,100,400,22.08516573905945,25.23744106292725,0.6144,0.2175,0.2725,0.3175
1000000,43,Mean,50000,20,20,0.3529119491577148,2.178430557250977,0.03072,0.102,0.293,0.541
1000000,43,HMRC-3,50000,20,60,20.4736328125,6.568431854248047,0.09216,0.1115,0.3115,0.546
1000000,43,kRt-b2d2,50000,20,80,34.882153034210205,7.758975028991699,0.12288,0.108,0.302,0.5485
1000000,44,Mean,500,2000,2000,2.2934110164642334,110.52000522613524,3.072,0.0695,0.2375,0.3245
1000000,44,HMRC-3,500,2000,6000,17.591250896453857,401.65841579437256,9.216,0.1385,0.3965,0.465
1000000,44,kRt-b2d2,500,2000,8000,30.6815288066864,771.7903852462769,12.288,0.1385,0.387,0.46
1000000,44,kRt-b2d2,2000,500,2000,30.75149893760681,164.27743434906006,3.072,0.2495,0.404,0.421
1000000,44,kRt-b2d2,10000,100,400,28.9785418510437,22.698521614074707,0.6144,0.2045,0.264,0.3025
1000000,44,Mean,50000,20,20,0.4055790901184082,2.491474151611328,0.03072,0.093,0.3035,0.5355
1000000,44,HMRC-3,50000,20,60,26.464109897613525,8.130550384521484,0.09216,0.0835,0.2745,0.5225
1000000,44,kRt-b2d2,50000,20,80,36.20685887336731,7.810950279235839,0.12288,0.0895,0.305,0.532
1000000,42,Mean,2000,500,500,0.6172349452972412,17.386555671691895,0.768,0.1725,0.3365,0.379
1000000,42,HMRC-3,2000,500,1500,8.165337085723877,66.06316566467285,2.304,0.2525,0.411,0.425
1000000,42,HMRC-10,2000,500,5000,21.111512184143063,237.8790378570557,7.68,0.249,0.4105,0.4325
1000000,42,HMRC-30,2000,500,15000,43.928853034973145,780.195951461792,23.04,0.2705,0.429,0.4695
1000000,42,Mean,10000,100,100,0.3765387535095215,3.972411155700683,0.1536,0.1755,0.257,0.3025
1000000,42,HMRC-3,10000,100,300,12.478407144546509,15.445470809936523,0.4608,0.2265,0.2795,0.314
1000000,42,HMRC-10,10000,100,1000,28.094890117645264,58.212995529174805,1.536,0.22,0.2785,0.328
1000000,42,HMRC-30,10000,100,3000,51.17852997779846,197.18265533447263,4.608,0.2185,0.2855,0.344
1000000,43,Mean,2000,500,500,0.6805720329284668,18.509387969970703,0.768,0.165,0.319,0.367
1000000,43,HMRC-3,2000,500,1500,10.012067079544067,88.15944194793701,2.304,0.249,0.388,0.4075
1000000,43,HMRC-10,2000,500,5000,25.184014081954956,296.1299419403076,7.68,0.24,0.3965,0.419
1000000,43,HMRC-30,2000,500,15000,53.482786893844604,878.4356117248535,23.04,0.2535,0.4245,0.469
1000000,43,Mean,10000,100,100,0.3856110572814941,4.297018051147461,0.1536,0.1745,0.248,0.2985
1000000,43,HMRC-3,10000,100,300,14.370968103408812,17.00747013092041,0.4608,0.218,0.2655,0.316
1000000,43,HMRC-10,10000,100,1000,31.86344814300537,62.23452091217042,1.536,0.22,0.2765,0.3335
1000000,43,HMRC-30,10000,100,3000,52.16813802719116,198.67587089538577,4.608,0.221,0.2965,0.35
1000000,44,Mean,2000,500,500,0.6554019451141357,18.939495086669922,0.768,0.171,0.3375,0.381
1000000,44,HMRC-3,2000,500,1500,10.758593082427979,88.91415596008301,2.304,0.265,0.405,0.4175
1000000,44,HMRC-10,2000,500,5000,26.230469942092896,303.39670181274414,7.68,0.256,0.405,0.428
1000000,44,HMRC-30,2000,500,15000,53.10362219810486,859.4504594802856,23.04,0.2665,0.4325,0.4745
1000000,44,Mean,10000,100,100,0.38451576232910156,4.51207160949707,0.1536,0.1655,0.2485,0.2875
1000000,44,HMRC-3,10000,100,300,13.389230966567993,17.634034156799316,0.4608,0.2075,0.2665,0.3185
1000000,44,HMRC-10,10000,100,1000,31.22423815727234,63.645124435424805,1.536,0.205,0.2625,0.309
1000000,44,HMRC-30,10000,100,3000,60.44477319717407,214.69247341156006,4.608,0.205,0.284,0.344
