size,seed,method,n_segments,n_reps,build_time_s,route_us_per_query,centroid_mem_mb,recall@1,recall@5,recall@10
100000,42,Mean,200,200,0.0465202331542968,8.4381103515625,0.3072,0.1445,0.4585,0.6355
100000,42,HMRC-3,200,600,1.7911369800567627,50.00150203704834,0.9216,0.282,0.735,0.818
100000,42,kRt-b2d2,200,800,3.275574207305908,30.813097953796383,1.2288,0.2575,0.707,0.8165
200000,42,Mean,400,400,0.1066231727600097,15.269994735717772,0.6144,0.116,0.397,0.5485
200000,42,HMRC-3,400,1200,2.736039638519287,47.02866077423096,1.8432,0.242,0.634,0.7255
200000,42,kRt-b2d2,400,1600,4.966724395751953,63.24315071105958,2.4576,0.233,0.6165,0.7225
100000,43,Mean,200,200,0.0427296161651611,8.17418098449707,0.3072,0.134,0.443,0.6075
100000,43,HMRC-3,200,600,1.3911209106445312,22.32813835144043,0.9216,0.2685,0.6825,0.7635
100000,43,kRt-b2d2,200,800,2.5171821117401123,30.057430267333984,1.2288,0.257,0.6685,0.7685
200000,43,Mean,400,400,0.1105201244354248,15.131473541259766,0.6144,0.1245,0.399,0.565
200000,43,HMRC-3,400,1200,2.717629909515381,46.36263847351074,1.8432,0.244,0.657,0.745
200000,43,kRt-b2d2,400,1600,4.880161285400391,62.866926193237305,2.4576,0.2395,0.6385,0.7395
100000,44,Mean,200,200,0.0423769950866699,7.935523986816406,0.3072,0.1335,0.455,0.618
100000,44,HMRC-3,200,600,1.4227509498596191,22.82500267028809,0.9216,0.2625,0.7085,0.8015
100000,44,kRt-b2d2,200,800,2.456176280975342,30.190467834472656,1.2288,0.2505,0.7005,0.8025
200000,44,Mean,400,400,0.10453128814697266,15.122056007385254,0.6144,0.119,0.3865,0.5415
200000,44,HMRC-3,400,1200,2.6721127033233643,46.94795608520508,1.8432,0.2535,0.6285,0.7185
200000,44,kRt-b2d2,400,1600,4.903035402297974,63.902974128723145,2.4576,0.241,0.618,0.7235
