nprobe,routing_recall,e2e_recall,latency_us_per_query,method,n_lists
10,0.1125,0.1025,109.60245421156286,Baseline,2000
20,0.2005,0.1905,226.73655836842954,Baseline,2000
30,0.286,0.267,358.00310412887484,Baseline,2000
50,0.4345,0.3855,664.8340372601524,Baseline,2000
75,0.5565,0.4785,986.3545000087471,Baseline,2000
100,0.633,0.549,1354.114870913327,Baseline,2000
150,0.712,0.6315,2118.938704184257,Baseline,2000
200,0.759,0.6865,3076.1839750455692,Baseline,2000
10,0.1475,0.146,66.14771240856498,HMRC-2,4000
20,0.288,0.243,181.1847624601796,HMRC-2,4000
30,0.3975,0.318,250.65505839884287,HMRC-2,4000
50,0.558,0.453,462.58468753658235,HMRC-2,4000
75,0.6545,0.551,717.4840041901916,HMRC-2,4000
100,0.717,0.618,948.7200919073075,HMRC-2,4000
150,0.7705,0.693,1418.5654125642031,HMRC-2,4000
200,0.8065,0.732,1980.4517125710845,HMRC-2,4000
10,0.1525,0.1615,62.85932909231632,HMRC-3,6000
20,0.2975,0.287,139.17377919424325,HMRC-3,6000
30,0.4535,0.3825,275.78139160759747,HMRC-3,6000
50,0.688,0.529,355.31173737253994,HMRC-3,6000
75,0.7845,0.613,552.2995123872535,HMRC-3,6000
100,0.8095,0.6655,717.596254311502,HMRC-3,6000
150,0.8335,0.7205,1031.3749333145097,HMRC-3,6000
200,0.84,0.7565,1360.169054218568,HMRC-3,6000
10,0.1345,0.1685,45.04573750309646,HMRC-5,10000
20,0.2715,0.288,89.38115406781435,HMRC-5,10000
30,0.3975,0.376,143.95552512723953,HMRC-5,10000
50,0.621,0.5005,254.6863041818142,HMRC-5,10000
75,0.743,0.587,355.0079290755093,HMRC-5,10000
100,0.7865,0.6385,461.84268321376294,HMRC-5,10000
150,0.821,0.706,684.2448622919619,HMRC-5,10000
200,0.829,0.737,894.5829583099112,HMRC-5,10000
